,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,沼津ひらまち店,沼津市平町２５番１号,055-963-6111,●,●,●,●,●,●
1,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,沼津みどりが丘中古車店,沼津市緑ヶ丘１１番２号,055-921-3200,,●,●,,,
2,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,沼津みどりが丘店,沼津市緑ヶ丘１０番７号,055-925-7111,●,●,●,●,,
3,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,沼津まかど店,静岡県沼津市東間門１丁目２番地３,055-951-2020,●,●,●,●,,
4,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,裾野店,裾野市深良１５５番地,0559-92-2121,●,●,●,●,,
5,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,伊豆の国店,伊豆の国市神島４３番地,0558-76-3333,●,●,●,●,,
6,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,三島中古車店,静岡県三島市梅名３７０－１,055-977-7222,,●,●,,,
7,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,三島ふつかまち店,三島市南二日町２番２号,055-971-2111,●,●,●,●,,
8,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,長泉店,静岡県駿東郡長泉町本宿９７,055-987-3111,●,●,●,●,,
9,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,御殿場ぐみ沢店,静岡県御殿場市ぐみ沢１３１８,0550-83-1511,●,●,●,●,,
10,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,御殿場ながはら店,御殿場市川島田１５０番地,0550-82-2761,●,●,●,●,,
11,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,河津店,静岡県賀茂郡河津町笹原３３５,0558-34-1200,●,●,●,●,,
12,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,川奈店,静岡県伊東市川奈１２５６－２２,0557-45-1616,●,●,●,●,,
13,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,伊東店,伊東市吉田１０２３番地の１１,0557-45-4611,●,●,●,●,,
14,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,下田店,下田市西本郷１丁目１０番３７号,0558-22-6111,●,●,●,●,,
15,トヨタユナイテッド静岡,静岡市葵区長沼６１１,0120-371-198,https://toyota-unitedshizuoka.co.jp/,,,,,,,,富士青葉通り店,静岡県富士市本市場町８１８,0545-66-1122,●,●,●,●,,
