,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,沼津店,沼津市丸子町　７５２－６,055-963-0010,●,,●,●,,
1,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,長泉店,駿東郡長泉町納米里　１６９－１,0559-87-0010,●,●,●,●,,
2,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,御殿場店,御殿場市萩原　９１６－４,0550-88-0010,●,,●,●,,
3,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,三島加茂店,三島市（若松町）　４３３２－１,0559-72-0010,●,,●,●,,
4,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,三島店,三島市青木　１３８－１,055-976-0010,●,,●,●,,
5,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,修善寺店,伊豆市瓜生野　２０２－２,0558-73-0010,●,,●,●,,
6,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,伊東店,伊東市玖須美元和田　７３４,0557-38-0010,●,,●,●,,
7,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,下田店,下田市西本郷　２－１９－１７,0558-23-0010,●,,●,●,,
8,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,松崎店,賀茂郡松崎町江奈　２８０,0558-42-1430,●,,●,●,,
9,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,富士店,富士市緑町　５－３３,0545-52-5991,●,,●,●,,
10,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,富士インター店,富士市伝法　２６５１－７,0545-52-0010,●,,●,●,,
11,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,富士宮店,富士宮市中原町　２３２,0544-22-0010,●,,●,●,,
12,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,清水店,静岡市清水区松原町　７－１３,054-354-0010,●,●,●,●,,
13,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,草薙店,静岡市清水区草薙　１９８２－６,054-346-0010,●,,●,●,,
14,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,流通通り店,静岡市葵区東千代田　３－７－６,054-263-0010,●,●,●,●,,
15,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,小黒店,静岡市駿河区小黒　１－１１－１７,054-284-0010,●,●,●,●,,
16,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,Ｕ－ＴＯＷＮ沼津,沼津市西沢田　３７８,055-920-0010,,●,●,●,,
17,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,Ｕ－ＴＯＷＮ富士,富士市伝法字下地　３７５２－２８,0545-53-7300,,●,●,●,,
18,ネッツトヨタ静岡株式会社,静岡県沼津市本丸子町７５２－６,055-962-9511,http://www.netz-shizuoka.net,,,,,,,,Ｕ－ＴＯＷＮ三島,三島市富田町　１０－１７,055-983-5110,,●,●,●,,
