,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,西大須店,愛知県名古屋市中区松原一丁目２番２号,052-331-9251,●,,●,●,,
1,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,中村本陣店,愛知県名古屋市中村区佐古前町１６番４７号,052-461-8235,●,,●,●,,
2,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,みなと店,愛知県名古屋市港区築盛町２７番地,052-652-1436,●,,●,●,●,●
3,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,荒畑店,愛知県名古屋市昭和区御器所三丁目２番１号,052-872-2711,●,,●,●,,
4,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,瑞穂山下通店,愛知県名古屋市瑞穂区田辺通６丁目４１番地,052-831-7221,●,,●,●,,
5,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,千種都通店,愛知県名古屋市千種区神田町１番１９号,052-711-3511,●,,●,●,,
6,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,植田一本松店,愛知県名古屋市天白区焼山二丁目１９１２番地,052-806-3611,●,,●,●,,
7,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,日進竹の山店,愛知県日進市竹の山一丁目１０１番,0561-74-7571,●,,●,●,●,●
8,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,豊明店,愛知県豊明市新田町吉池１番の６,0562-93-1133,●,,●,●,,
9,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,緑徳重店,愛知県名古屋市緑区黒沢台五丁目１１０１番地の１,052-877-1800,●,,●,●,,
10,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,豊山店,愛知県西春日井郡豊山町大字豊場字幸田１７６番地,0568-28-3121,●,,●,●,,
11,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,古城店,愛知県清須市西枇杷島町城並一丁目１番地１,052-502-3231,●,,●,●,,
12,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,勝川店,愛知県春日井市勝川町西三丁目５３番地,0568-32-3091,●,,●,●,,
13,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,津島神守店,愛知県津島市神守町古道１９番地,0567-25-1145,●,,●,●,,
14,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,一宮牛野店,愛知県一宮市大和町宮地花池字高見４８番地,0586-72-0195,●,,●,●,●,●
15,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,江南店　,愛知県江南市古知野町熱田４５番地,0587-55-7121,●,,●,●,,
16,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,岩倉駅西店,愛知県岩倉市新柳町一丁目５５番地の１,0587-37-7011,●,,●,●,,
17,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,東海富木島店,愛知県東海市富木島町内堀２０番地の１,052-604-7171,●,,●,●,,
18,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,大高店,愛知県名古屋市緑区大高町字東正地７６番地,052-623-2951,●,,●,●,,
19,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,大府店,愛知県大府市桃山町一丁目７９番地,0562-48-6800,●,,●,●,,
20,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,東浦店,愛知県知多郡東浦町緒川字旭１８番地の１,0562-82-2560,●,,●,●,●,●
21,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,半田乙川店,愛知県半田市袮宜町７０番地,0569-21-4621,●,,●,●,,
22,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,常滑店,愛知県常滑市字中千代７番地１,0569-34-8122,●,,●,●,,
23,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,刈谷店,愛知県刈谷市富士見町５丁目２１５番地,0566-21-7551,●,,●,●,,
24,トヨタカローラ名古屋株式会社,愛知県　名古屋市　中区　松原　１丁目　６番　２号,052-331-7171,https://www.c-nagoya.co.jp/,,,,,,,,安城店,愛知県安城市百石町一丁目６番地１１,0566-76-4161,●,,●,●,,
