,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,豊橋下地店,愛知県豊橋市瓜郷町高道４６,0532-52-6391,●,●,●,●,,
1,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,岩田店,愛知県豊橋市中岩田３－２－２１,0532-63-5433,●,●,●,●,,
2,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,殿田橋店,愛知県豊橋市飯村町茶屋８１‐２,0532-63-5711,●,●,●,●,,
3,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,豊橋東店,愛知県豊橋市西口町元茶屋３６－１,0532-61-4111,●,●,●,●,,
4,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,豊橋佐藤店,愛知県豊橋市佐藤二丁目７番地の１２,0532-64-1881,●,●,●,●,,
5,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,新城店,愛知県新城市市場台２‐５‐１３,0536-23-6511,●,●,●,●,,
6,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,田原店,愛知県田原市豊島町七曲５‐１,0531-23-1101,●,●,●,●,,
7,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,新栄西店,愛知県豊橋市新栄町字南小向７３－１,0532-31-8121,●,●,●,●,,
8,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,新栄東店,愛知県豊橋市新栄町南小向７８－１,0532-31-6101,●,●,●,●,,
9,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,豊橋柱店,豊橋市柱四番町２３番地,0532-38-8911,●,●,●,●,,
10,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,高師北店,愛知県豊橋市向草間町北新切１１４‐１,0532-46-9111,●,●,●,●,,
11,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,高師南店,愛知県豊橋市松井町南新切１８,0532-47-0011,●,●,●,●,,
12,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,豊川インター店,愛知県豊川市大堀町２８５,0533-85-1221,●,●,●,●,,
13,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,豊川中央通店,愛知県豊川市中央通３－７－１,0533-85-1252,●,●,●,●,,
14,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,豊川インターマイカーセンター,愛知県豊川市牧野町２－３２,0533-86-1281,,●,●,●,,
15,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,豊川マイカーセンター,愛知県豊川市馬場町薬師７２,0533-83-1510,,●,●,,,
16,愛知トヨタ（知多・三河地区）,名古屋市昭和区高辻町６－８,052-882-0011,https://www.aichi-toyota.jp/,,,,,,,,豊川住吉店,愛知県豊川市住吉町１丁目４３番地,0533-89-3211,●,●,●,●,,
