,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,鍋屋上野店,名古屋市千種区谷口５番３５号,052-721-1261,●,,●,●,,
1,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,猪子石店,名古屋市名東区猪子石原一丁目１１５番地,052-760-2333,●,,●,●,●,●
2,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,上社店,名古屋市名東区上社一丁目１８０９番地,052-775-3211,●,,●,●,,
3,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,高針店,名古屋市名東区高針二丁目２５０６番地,052-703-8111,●,,●,●,,
4,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,荒畑店,名古屋市昭和区鶴舞四丁目１７番２３号,052-732-3541,●,,●,●,,
5,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,川原店,名古屋市昭和区川原通一丁目２３番地,052-761-8111,●,,●,●,,
6,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,島田橋店,名古屋市天白区元八事三丁目７１番地,052-835-2022,●,,●,●,,
7,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,日進駅前店,日進市栄二丁目１２０７番地,0561-72-7511,●,,●,●,,
8,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,東郷春木台店,愛知郡東郷町大字春木字上正葉廻間２番地の１,0561-38-8822,●,,●,●,,
9,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,三好ケ丘店,みよし市三好丘六丁目４番地の１,0561-36-2555,●,,●,●,,
10,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,藤岡店,豊田市西中山町稲場２００番地,0565-76-7411,●,,●,●,●,●
11,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,美里店,豊田市渋谷町二丁目１番地,0565-89-2500,●,,●,●,,
12,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,錦町店,豊田市錦町二丁目５７番地,0565-34-4511,●,,●,●,,
13,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,山之手店,豊田市御幸本町一丁目１７６番地,0565-29-2111,●,,●,●,,
14,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,高岡店,豊田市生駒町横山１３番地,0565-57-1331,●,,●,●,,
15,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,長久手店,長久手市武蔵塚９１０番地,0561-63-8833,●,,●,●,,
16,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,新栄店,名古屋市中区葵一丁目２７番２９号,052-935-6122,●,,●,●,,
17,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,田辺通店,名古屋市瑞穂区田辺通２丁目１５番地,052-746-1112,●,,●,●,,
18,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,平針店,名古屋市天白区平針二丁目１９１０番地,052-801-6111,●,,●,●,,
19,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,キリンダム三好中央店PUCセンター,愛知県みよし市三好町上２３０,0561-33-2300,,●,●,●,,
20,トヨタモビリティ東名古屋株式会社,愛知県名古屋市中区葵１－２７－２９,052-935-6111,https://www.toyota-mobi-higashinagoya.jp/,,,,,,,,三好中央店,みよし市三好町上２３０番地,0561-33-2500,●,,●,●,,
