,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタノヴェル三重株式会社,三重県四日市市十七軒町３－１８,059-352-2156,http://www.netz-novelmie.co.jp/,,,,,,,,四日市本社店,四日市市十七軒町３－１８,059-352-2511,●,●,●,●,,
1,ネッツトヨタノヴェル三重株式会社,三重県四日市市十七軒町３－１８,059-352-2156,http://www.netz-novelmie.co.jp/,,,,,,,,鈴鹿白子店,鈴鹿市寺家六丁目２３－３３,059-386-3121,●,●,●,●,,
2,ネッツトヨタノヴェル三重株式会社,三重県四日市市十七軒町３－１８,059-352-2156,http://www.netz-novelmie.co.jp/,,,,,,,,菰野店,三重郡菰野町大字神森８４８,059-391-1000,●,,●,●,,
3,ネッツトヨタノヴェル三重株式会社,三重県四日市市十七軒町３－１８,059-352-2156,http://www.netz-novelmie.co.jp/,,,,,,,,富田店,四日市市富田二丁目１３－５,059-364-3911,●,,●,●,,
4,ネッツトヨタノヴェル三重株式会社,三重県四日市市十七軒町３－１８,059-352-2156,http://www.netz-novelmie.co.jp/,,,,,,,,ネオポリス店,員弁郡東員町大字穴太２３５３－１,0594-86-1770,●,,●,●,,
5,ネッツトヨタノヴェル三重株式会社,三重県四日市市十七軒町３－１８,059-352-2156,http://www.netz-novelmie.co.jp/,,,,,,,,桑名大桑店,桑名市繁松新田３３－１,0594-22-3351,●,,●,●,,
6,ネッツトヨタノヴェル三重株式会社,三重県四日市市十七軒町３－１８,059-352-2156,http://www.netz-novelmie.co.jp/,,,,,,,,一身田店,津市大里窪田町２９１２,059-232-2255,●,,●,●,,
7,ネッツトヨタノヴェル三重株式会社,三重県四日市市十七軒町３－１８,059-352-2156,http://www.netz-novelmie.co.jp/,,,,,,,,高茶屋店,津市高茶屋小森町１３１７－７,059-234-6000,●,●,●,●,,
8,ネッツトヨタノヴェル三重株式会社,三重県四日市市十七軒町３－１８,059-352-2156,http://www.netz-novelmie.co.jp/,,,,,,,,津店,津市垂水２１７,059-225-2424,●,,●,●,,
9,ネッツトヨタノヴェル三重株式会社,三重県四日市市十七軒町３－１８,059-352-2156,http://www.netz-novelmie.co.jp/,,,,,,,,松阪店,松阪市塚本町下箱１４４－１,0598-52-1151,●,,●,●,,
10,ネッツトヨタノヴェル三重株式会社,三重県四日市市十七軒町３－１８,059-352-2156,http://www.netz-novelmie.co.jp/,,,,,,,,伊勢バイパス店,伊勢市小木町箕曲２３－１,0596-36-2122,●,,●,●,,
11,ネッツトヨタノヴェル三重株式会社,三重県四日市市十七軒町３－１８,059-352-2156,http://www.netz-novelmie.co.jp/,,,,,,,,上野店,伊賀市平野中川原４８８－４,0595-21-6711,●,,●,●,,
12,ネッツトヨタノヴェル三重株式会社,三重県四日市市十七軒町３－１８,059-352-2156,http://www.netz-novelmie.co.jp/,,,,,,,,小俣店,伊勢市小俣町湯田７３３－１,0596-27-2635,●,,●,●,,
