,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,本社店,京都市南区吉祥院三ノ宮町１００,075-681-1111,●,●,●,●,,
1,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,中央店,京都市上京区上立売通新町西入ル,075-432-6111,●,●,●,●,,
2,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,伏見店,京都市伏見区下鳥羽但馬町１０４番,075-605-7733,●,●,●,●,,
3,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,桂川洛西店,京都府向日市寺戸町寺田５０－３,075-934-8855,●,●,●,●,,
4,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,城陽店,城陽市寺田新池３８－９,0774-55-0111,●,●,●,●,,
5,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,山科店,京都市山科区東野北井ノ上町１０－３０,075-593-7951,●,●,●,●,,
6,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,御池店,京都市中京区西ノ京銅駝町７６－１,075-823-7707,●,●,●,●,,
7,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,修学院店,京都市左京区山端森本町３－１,075-721-6300,●,●,●,,,
8,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,乙訓店,京都市伏見区羽束師菱川町１９０－１,075-935-3030,●,●,●,●,,
9,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,宇治店,宇治市宇治樋ノ尻５２－１,0774-22-5878,●,●,●,●,,
10,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,木津店,木津川市相楽台三丁目３番地,0774-73-0909,●,●,●,●,●,●
11,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,亀岡店,亀岡市大井町土田３丁目１５４,0771-24-3039,●,●,●,●,,
12,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,中丹店,綾部市高津町大橋１０－１,0773-42-5980,●,●,●,●,,
13,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,舞鶴店,舞鶴市字京田小字大角１３４,0773-75-4345,●,●,●,●,,
14,京都トヨタ自動車株式会社,京都市南区吉祥院三ノ宮町１００,075-681-1121,https://kyoto-toyota.jp,,,,,,,,峰山店,京都府京丹後市峰山町荒山３７７－１０,0772-62-0424,●,●,●,●,,
