,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ京華株式会社,京都府京都市南区吉祥院池田町２８　（本社）,0120-682-500,http://www.netz-kyoka.jp/,,,,,,,,吉祥院店,京都市南区吉祥院池田町２８番地,075-681-7771,●,,●,●,,
1,ネッツトヨタ京華株式会社,京都府京都市南区吉祥院池田町２８　（本社）,0120-682-500,http://www.netz-kyoka.jp/,,,,,,,,カドノ大路店,京都府京都市南区吉祥院中河原里北町３,075-315-6363,●,,●,●,,
2,ネッツトヨタ京華株式会社,京都府京都市南区吉祥院池田町２８　（本社）,0120-682-500,http://www.netz-kyoka.jp/,,,,,,,,高野店,京都市左京区一乗寺染殿町３８番地,075-722-5543,●,,●,●,,
3,ネッツトヨタ京華株式会社,京都府京都市南区吉祥院池田町２８　（本社）,0120-682-500,http://www.netz-kyoka.jp/,,,,,,,,山科店,京都市山科区勧修寺平田町１１２番地,075-594-1221,●,,●,●,,
4,ネッツトヨタ京華株式会社,京都府京都市南区吉祥院池田町２８　（本社）,0120-682-500,http://www.netz-kyoka.jp/,,,,,,,,宇治店,宇治市槇島町大川原１１－１,0774-24-1240,●,,●,●,,
5,ネッツトヨタ京華株式会社,京都府京都市南区吉祥院池田町２８　（本社）,0120-682-500,http://www.netz-kyoka.jp/,,,,,,,,伏見店,京都市伏見区島津町１３３番地,075-612-2200,●,,●,●,,
6,ネッツトヨタ京華株式会社,京都府京都市南区吉祥院池田町２８　（本社）,0120-682-500,http://www.netz-kyoka.jp/,,,,,,,,ウェルカム久御山店,京都府久世郡久御山町大字野村小字村東６２－１,075-633-5800,●,,●,●,,
7,ネッツトヨタ京華株式会社,京都府京都市南区吉祥院池田町２８　（本社）,0120-682-500,http://www.netz-kyoka.jp/,,,,,,,,木津川台店（京都トヨペット委託店）,京都府木津川市木津川台５丁目１－７,0774-71-8280,●,,●,●,,
8,ネッツトヨタ京華株式会社,京都府京都市南区吉祥院池田町２８　（本社）,0120-682-500,http://www.netz-kyoka.jp/,,,,,,,,福知山店,京都府福知山市末広町５丁目９－１、９－２,0773-22-6235,●,,●,●,,
9,ネッツトヨタ京華株式会社,京都府京都市南区吉祥院池田町２８　（本社）,0120-682-500,http://www.netz-kyoka.jp/,,,,,,,,ウェルカム京丹後大宮店,京都府京丹後市大宮町河辺小字豊野３２７２－１,0772-68-0023,●,,●,●,,
