,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタヤサカ株式会社,京都府京都市中京区壬生仙念町５,0120-59-0010,https://www.netz-yasaka.com/,,,,,,,,十条店,京都市南区西九条森本町６４,075-662-3616,●,,●,●,,
1,ネッツトヨタヤサカ株式会社,京都府京都市中京区壬生仙念町５,0120-59-0010,https://www.netz-yasaka.com/,,,,,,,,四条店,京都市中京区壬生仙念町５,075-802-0151,●,,●,●,,
2,ネッツトヨタヤサカ株式会社,京都府京都市中京区壬生仙念町５,0120-59-0010,https://www.netz-yasaka.com/,,,,,,,,山科店,京都市山科区東野北井ノ上町１０－４４,075-593-6971,●,,●,●,,
3,ネッツトヨタヤサカ株式会社,京都府京都市中京区壬生仙念町５,0120-59-0010,https://www.netz-yasaka.com/,,,,,,,,ＡＬＡＬ京田辺店,京都府京田辺市草内大東１－１４,0774-68-2890,●,●,●,●,,
4,ネッツトヨタヤサカ株式会社,京都府京都市中京区壬生仙念町５,0120-59-0010,https://www.netz-yasaka.com/,,,,,,,,松井山手店,京田辺市山手中央４－３,0774-68-1210,●,●,●,●,,
5,ネッツトヨタヤサカ株式会社,京都府京都市中京区壬生仙念町５,0120-59-0010,https://www.netz-yasaka.com/,,,,,,,,大久保店,京都府宇治市大久保町田原２０－１,0774-43-1700,●,,●,●,,
6,ネッツトヨタヤサカ株式会社,京都府京都市中京区壬生仙念町５,0120-59-0010,https://www.netz-yasaka.com/,,,,,,,,宇治店,京都府宇治市槇島町拾六２４－５,0774-24-4070,●,●,●,●,,
7,ネッツトヨタヤサカ株式会社,京都府京都市中京区壬生仙念町５,0120-59-0010,https://www.netz-yasaka.com/,,,,,,,,桃山店,京都市伏見区桃山町和泉８－１,075-601-7171,●,●,●,●,,
8,ネッツトヨタヤサカ株式会社,京都府京都市中京区壬生仙念町５,0120-59-0010,https://www.netz-yasaka.com/,,,,,,,,桂川店,向日市寺戸町寺田５０‐４,075-925-4141,●,●,●,●,,
9,ネッツトヨタヤサカ株式会社,京都府京都市中京区壬生仙念町５,0120-59-0010,https://www.netz-yasaka.com/,,,,,,,,木津店,京都府木津川市木津奈良道６５－１,0774-73-2231,●,,●,●,,
10,ネッツトヨタヤサカ株式会社,京都府京都市中京区壬生仙念町５,0120-59-0010,https://www.netz-yasaka.com/,,,,,,,,乙訓店,京都府向日市上植野町桑原１２－７,075-931-3105,●,,●,●,,
