,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,池田店,大阪府池田市荘園１－１４－１６,072-762-8600,●,,●,●,,
1,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,サンテラス箕面,大阪府箕面市粟生新家３－１－３,072-729-8600,●,●,●,●,,
2,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,千里店,大阪府吹田市津雲台７－６－Ｄ１３３－１０１,06-6831-8600,●,,●,●,,
3,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,吹田店,大阪府大阪市東淀川区下新庄６－９－２２,06-6325-8600,●,,●,●,,
4,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,野里店,大阪府大阪市西淀川区姫里１－１６－２２,06-6475-8600,●,,●,●,,
5,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,サンテラス十三,大阪府大阪市淀川区新高１－９－３５,06-6392-8600,●,●,●,●,,
6,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,高槻店,大阪府高槻市辻子２－１－７,0726-71-8600,●,,●,●,,
7,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,サンテラス茨木,大阪府茨木市東太田１－６－４９,072-624-8600,●,●,●,●,,
8,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,枚方店,大阪府枚方市堂山東町１－２７,072-848-8600,●,,●,●,●,●
9,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,交野店,大阪府交野市森北１－１－５,072-892-7778,●,,●,●,,
10,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,サンテラス寝屋川,大阪府寝屋川市葛原新町１１－１０,072-829-8600,●,●,●,●,,
11,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,１６３緑地北店,大阪府守口市南寺方東通２－１０－１８,06-6997-0860,●,,●,●,,
12,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,大東店,大阪府大東市中垣内５－２－３,072-874-8600,●,,●,●,,
13,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,城東店,大阪府大阪市城東区関目１－１－５,06-6939-8600,●,,●,●,,
14,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,サンテラス布施,大阪府東大阪市荒本西１－４－１１,06-6788-8600,●,●,●,●,,
15,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,アリオ八尾店,大阪府八尾市光町２－３,072-999-8600,●,,●,●,,
16,大阪トヨタ自動車株式会社,大阪府大阪市福島区福島５－１７－２,06-6451-8600,https://osaka-toyota.jp/,,,,,,,,福島店,大阪府大阪市福島区福島５－１７－２,06-6455-8600,●,,●,●,,
