,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,南港プラザ,大阪府大阪市西成区南津守７丁目１４番１８号,06-6658-8866,,●,●,●,,
1,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,いぶき野店,和泉市いぶき野５－４－３,0725-57-8770,●,,●,●,,
2,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,いぶき野プラザ,和泉市いぶき野５－４－３,0725-57-8770,,●,●,●,,
3,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,いずみプラザ,大阪府泉大津市豊中町３－１５－８,0725-33-3361,,●,●,●,,
4,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,泉佐野プラザ,大阪府泉佐野市鶴原１７３８－１,072-464-0981,,●,●,●,,
5,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,南港店,大阪府大阪市西成区南津守７丁目１４番１８号,06-6658-8866,●,,●,●,,
6,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,なにわ店,大阪市西成区中開１丁目２－３,06-6632-9500,●,,●,●,,
7,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,平野店,大阪府大阪市平野区背戸口１－２１－２４,06-6704-0117,●,,●,●,,
8,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,新喜連店,大阪府大阪市平野区喜連西４－６―７５,06-6703-3115,●,,●,●,,
9,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,新喜連プラザ,大阪市平野区喜連西４－６－８１,06-6700-1117,,●,●,●,,
10,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,加美店,大阪府大阪市平野区加美南４―５―１１,06-6796-1081,●,,●,●,,
11,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,住之江店,大阪府大阪市住之江区浜口西３－１２－８,06-6678-6701,●,,●,●,,
12,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,住吉店,大阪市住吉区南住吉２－１８－４,06-6693-5500,●,,●,●,,
13,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,松原プラザ,松原市阿保１－１８－２,072-331-8806,,●,●,●,,
14,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,松原店,大阪府松原市阿保１－１８－２,072-331-7910,●,,●,●,,
15,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,藤井寺店,大阪府藤井寺市林２－９－１０,072-939-3818,●,,●,●,,
16,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,藤井寺プラザ,大阪府藤井寺市林２－９－１０,072-939-3818,,●,●,●,,
17,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,羽曳野店,大阪府羽曳野市野々上２－１－１５,072-955-8665,●,,●,●,,
18,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,富田林店,大阪府富田林市旭ヶ丘町１２－１０,0721-24-6903,●,,●,●,,
19,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,金剛店,大阪府富田林市寿町３－７－３,0721-25-0801,●,,●,●,,
20,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,狭山店,大阪狭山市茱萸木４－３７１―１,072-366-2480,●,,●,●,,
21,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,狭山プラザ,大阪狭山市茱萸木４－３７１―１,072-366-2480,,●,●,●,,
22,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,河内長野店,大阪府河内長野市松ヶ丘東町１３３９,0721-53-1271,●,,●,●,,
23,トヨタカローラ南海株式会社,堺市西区浜寺諏訪森町西１－７,072-261-8881,https://nankai.corolla-dealer.jp/,,,,,,,,外環河内長野店,大阪府河内長野市野作町１３－３８,0721-56-8800,●,,●,●,,
