,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,枚方招提店,枚方市招提大谷２－８－１５,072-855-5350,●,,●,●,●,●
1,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,枚方中央店,大阪府枚方市池之宮１－２－２７,072-848-0500,●,,●,●,,
2,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,枚方店,大阪府枚方市南中振２－４５－４,072-831-4641,●,,●,●,,
3,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,交野店,大阪府交野市星田北１－２６－５,072-891-0001,●,,●,●,,
4,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,寝屋川店,寝屋川市仁和寺本町４－２０－４９,072-828-9221,●,,●,●,,
5,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,畷店,大阪府四條畷市雁屋南町１６－３５,072-877-4041,●,,●,●,,
6,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,大東店,大阪府大東市諸福３－１２－１２,072-871-4771,●,,●,●,,
7,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,寝屋川中央店,寝屋川市高宮栄町１－４,072-823-8861,●,,●,●,●,●
8,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,旭店,大阪市旭区大宮５－３－２８,06-6952-8631,●,,●,●,,
9,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,門真店,大阪府門真市打越町３１－１２,072-882-1241,●,,●,●,,
10,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,花博店,大阪市鶴見区鶴見５－１－１,06-6939-9951,●,●,●,●,,
11,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,城東しぎの店,大阪市城東区鴫野西５－１９－２２,06-6962-5601,●,,●,●,,
12,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,福島店,大阪市福島区鷺洲５－４－２,06-6453-0591,●,,●,●,,
13,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,堀江店,大阪市西区北堀江１－２１－１９,06-6538-3741,●,,●,●,,
14,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,なんば店,大阪市浪速区敷津西１－１－２,06-6632-5184,●,,●,●,,
15,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,生野店,大阪市生野区巽中１－１８－５,06-6757-2651,●,,●,●,,
16,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,東大阪本庄店,大阪府東大阪市稲田新町３－１－５８,06-6745-5545,●,,●,●,,
17,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,枚岡店,大阪府東大阪市桜町１－１,072-982-5321,●,,●,●,,
18,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,八尾太子堂店,大阪府八尾市南植松町４－６,072-992-1701,●,,●,●,,
19,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,柏原店,大阪府柏原市本郷３－７－４５,072-972-6101,●,,●,●,,
20,トヨタカローラ大阪株式会社,大阪市西区立売堀３－１－１,06-6531-8411,http://www.c-osaka.com,,,,,,,,Ｕ－Ｃａｒ枚方中央店,大阪府枚方市池之宮１－２－２０,072-849-9500,,●,●,,,
