,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,本社・灘サービスセンター(法人グループ),兵庫県神戸市灘区灘南通２－１－９,078-802-7565,●,,●,●,,
1,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,東神戸店,兵庫県神戸市東灘区魚崎北町５－５－１３,078-452-2750,●,●,●,●,,
2,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,西宮酒蔵通り店,兵庫県西宮市今津出在家町１－２７,0798-37-1055,●,●,●,●,,
3,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,西宮１７１店,兵庫県西宮市青木町５－１３,0798-71-1601,●,●,●,●,,
4,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,名神尼崎店,兵庫県尼崎市名神町１－１－２８,06-6427-3911,●,●,●,●,,
5,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,阪神サービスセンター(法人グループ),兵庫県伊丹市鴻池２－１－３６,072-747-2940,●,,●,●,,
6,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,伊丹店,兵庫県伊丹市昆陽５丁目２１１－１,072-783-1551,●,●,●,●,,
7,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,宝塚店,兵庫県宝塚市旭町３－２－１,0797-86-3331,●,●,●,●,●,●
8,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,川西店,兵庫県川西市多田桜木１－９－３５,072-793-0112,●,●,●,●,,
9,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,鈴蘭台店,兵庫県神戸市北区鈴蘭台西町５丁目２０－５,078-594-8711,●,●,●,●,,
10,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,神戸北センター店,兵庫県神戸市北区有野中町１丁目１７－６,078-982-2661,●,●,●,●,,
11,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,三田店,兵庫県三田市福島３丁目１番地,079-567-7010,●,●,●,●,,
12,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,丹波篠山店　ダイハツ丹波篠山,兵庫県丹波篠山市味間新５７１－１,079-594-2111,●,●,●,●,,
13,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,三田マイカーセンター,兵庫県三田市大原字北溝８１－３,079-553-0900,,●,●,,,
14,トヨタカローラ神戸株式会社,神戸市灘区灘南通２－１－９,078-881-8181,https://www.c-kobe.co.jp/,,,,,,,,丹波篠山マイカーセンター,兵庫県丹波篠山市味間新５６８－１,079-594-2120,,●,●,,,
