,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ姫路株式会社,姫路市花田町一本松９０－１,079-253-2141,http://www.c-himeji.jp/,,,,,,,,本店,姫路市花田町一本松９０－１,079-253-2142,●,,●,●,,
1,トヨタカローラ姫路株式会社,姫路市花田町一本松９０－１,079-253-2141,http://www.c-himeji.jp/,,,,,,,,はりま店,加古郡播磨町東野添３丁目３－１６,078-944-1401,●,,●,●,,
2,トヨタカローラ姫路株式会社,姫路市花田町一本松９０－１,079-253-2141,http://www.c-himeji.jp/,,,,,,,,加古川店,加古川市野口町長砂８５３－１,079-423-0411,●,,●,●,,
3,トヨタカローラ姫路株式会社,姫路市花田町一本松９０－１,079-253-2141,http://www.c-himeji.jp/,,,,,,,,高砂店,高砂市中島３丁目７－３０,079-443-4466,●,,●,●,,
4,トヨタカローラ姫路株式会社,姫路市花田町一本松９０－１,079-253-2141,http://www.c-himeji.jp/,,,,,,,,ひめじ店,姫路市砥堀９８５－１,079-264-0910,●,,●,●,,
5,トヨタカローラ姫路株式会社,姫路市花田町一本松９０－１,079-253-2141,http://www.c-himeji.jp/,,,,,,,,しらさぎ店,姫路市下手野１丁目７－６８,079-296-0515,●,●,●,●,,
6,トヨタカローラ姫路株式会社,姫路市花田町一本松９０－１,079-253-2141,http://www.c-himeji.jp/,,,,,,,,ひろはた店,姫路市広畑区正門通２丁目３,079-239-3051,●,,●,●,●,●
7,トヨタカローラ姫路株式会社,姫路市花田町一本松９０－１,079-253-2141,http://www.c-himeji.jp/,,,,,,,,飾磨店,姫路市飾磨区中島１丁目３２０,079-234-2102,●,,●,●,,
8,トヨタカローラ姫路株式会社,姫路市花田町一本松９０－１,079-253-2141,http://www.c-himeji.jp/,,,,,,,,福崎店,神崎郡福崎町西治２５,0790-22-3031,●,●,●,●,,
9,トヨタカローラ姫路株式会社,姫路市花田町一本松９０－１,079-253-2141,http://www.c-himeji.jp/,,,,,,,,八鹿店,養父市八鹿町八鹿１９１７,079-662-2291,●,●,●,●,,
10,トヨタカローラ姫路株式会社,姫路市花田町一本松９０－１,079-253-2141,http://www.c-himeji.jp/,,,,,,,,豊岡店,豊岡市九日市中町１０１,0796-22-3141,●,●,●,●,,
11,トヨタカローラ姫路株式会社,姫路市花田町一本松９０－１,079-253-2141,http://www.c-himeji.jp/,,,,,,,,太子店,揖保郡太子町東出１０３,079-276-1261,●,,●,●,,
12,トヨタカローラ姫路株式会社,姫路市花田町一本松９０－１,079-253-2141,http://www.c-himeji.jp/,,,,,,,,赤穂店,赤穂市加里屋２５－１,0791-43-1372,●,,●,●,,
13,トヨタカローラ姫路株式会社,姫路市花田町一本松９０－１,079-253-2141,http://www.c-himeji.jp/,,,,,,,,Ｕ－Ｃａｒプラザ姫路,姫路市花田町一本松９８－１,079-253-1682,,●,●,,,
