,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ苫小牧株式会社,北海道苫小牧市新中野町３－１－４,0144-34-2121,https://www.netz-tomakomai.co.jp,,,,,,,,室蘭キテネッツ館,室蘭市東町１丁目１番７号,0143-44-1871,●,,●,●,,
1,ネッツトヨタ苫小牧株式会社,北海道苫小牧市新中野町３－１－４,0144-34-2121,https://www.netz-tomakomai.co.jp,,,,,,,,だて店,伊達市弄月町４６番地の４,0142-25-2341,●,,●,●,,
2,ネッツトヨタ苫小牧株式会社,北海道苫小牧市新中野町３－１－４,0144-34-2121,https://www.netz-tomakomai.co.jp,,,,,,,,とまこまい店,苫小牧市新中野町３丁目１番４号,0144-34-2123,●,,●,●,,
3,ネッツトヨタ苫小牧株式会社,北海道苫小牧市新中野町３－１－４,0144-34-2121,https://www.netz-tomakomai.co.jp,,,,,,,,ＫｉｔｅＮｅｔｚ館,苫小牧市新開町３丁目２番４号,0144-51-6262,●,,●,●,,
4,ネッツトヨタ苫小牧株式会社,北海道苫小牧市新中野町３－１－４,0144-34-2121,https://www.netz-tomakomai.co.jp,,,,,,,,ブルーツイン,苫小牧市明野新町１丁目２番１１号,0144-55-5777,,●,●,●,,
5,ネッツトヨタ苫小牧株式会社,北海道苫小牧市新中野町３－１－４,0144-34-2121,https://www.netz-tomakomai.co.jp,,,,,,,,樽前いとい店,苫小牧市小糸井町１丁目５番２０号,0144-72-3121,●,●,●,●,,
6,ネッツトヨタ苫小牧株式会社,北海道苫小牧市新中野町３－１－４,0144-34-2121,https://www.netz-tomakomai.co.jp,,,,,,,,とみかわ店／トヨタダイハツショップとみかわ,沙流郡日高町富川西７－１０２９－６,01456-2-0070,●,,●,●,,
7,ネッツトヨタ苫小牧株式会社,北海道苫小牧市新中野町３－１－４,0144-34-2121,https://www.netz-tomakomai.co.jp,,,,,,,,しんせい店,登別市新生町３丁目１番地１,0143-86-1515,●,,●,●,,
8,ネッツトヨタ苫小牧株式会社,北海道苫小牧市新中野町３－１－４,0144-34-2121,https://www.netz-tomakomai.co.jp,,,,,,,,ひだかトヨタ自動車販売しずない西店,北海道日高郡新ひだか町静内末広町３丁目１番２３号,0146-42-1191,●,●,●,●,,
9,ネッツトヨタ苫小牧株式会社,北海道苫小牧市新中野町３－１－４,0144-34-2121,https://www.netz-tomakomai.co.jp,,,,,,,,ひだかトヨタ自動車販売しずない東店,北海道日高郡新ひだか町静内末広町２丁目１番２７号,0146-42-1281,●,●,●,●,,
10,ネッツトヨタ苫小牧株式会社,北海道苫小牧市新中野町３－１－４,0144-34-2121,https://www.netz-tomakomai.co.jp,,,,,,,,ひだかトヨタ自動車販売うらかわ築地店,北海道浦河郡浦河町築地３丁目４番８号,0146-22-2811,●,●,●,●,,
11,ネッツトヨタ苫小牧株式会社,北海道苫小牧市新中野町３－１－４,0144-34-2121,https://www.netz-tomakomai.co.jp,,,,,,,,ひだかトヨタ自動車販売うらかわ堺町店,北海道浦河郡浦河町堺町西２丁目１－１７,0146-22-3025,●,●,●,●,,
