,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタゾナ神戸株式会社,兵庫県神戸市中央区磯辺通４丁目２－１２,078-242-1188,https://zona-kobe.jp,,,,,,,,尼崎店,尼崎市大庄北５丁目１５番１号,06-6419-6640,●,●,●,●,,
1,ネッツトヨタゾナ神戸株式会社,兵庫県神戸市中央区磯辺通４丁目２－１２,078-242-1188,https://zona-kobe.jp,,,,,,,,伊丹店,伊丹市南町３丁目１番２２号,072-770-6881,●,●,●,●,,
2,ネッツトヨタゾナ神戸株式会社,兵庫県神戸市中央区磯辺通４丁目２－１２,078-242-1188,https://zona-kobe.jp,,,,,,,,川西店,川西市多田桜木２丁目１０番２９号,072-792-3941,●,●,●,●,,
3,ネッツトヨタゾナ神戸株式会社,兵庫県神戸市中央区磯辺通４丁目２－１２,078-242-1188,https://zona-kobe.jp,,,,,,,,宝塚店,宝塚市栄町１丁目９番１７号,0797-86-2111,●,●,●,●,,
4,ネッツトヨタゾナ神戸株式会社,兵庫県神戸市中央区磯辺通４丁目２－１２,078-242-1188,https://zona-kobe.jp,,,,,,,,西宮店,西宮市津門大箇町９番１０号,0798-23-1071,●,●,●,●,,
5,ネッツトヨタゾナ神戸株式会社,兵庫県神戸市中央区磯辺通４丁目２－１２,078-242-1188,https://zona-kobe.jp,,,,,,,,西宮１７１店,西宮市丸橋町８番８８号,0798-51-6777,●,●,●,●,,
6,ネッツトヨタゾナ神戸株式会社,兵庫県神戸市中央区磯辺通４丁目２－１２,078-242-1188,https://zona-kobe.jp,,,,,,,,甲南店,神戸市東灘区本庄町１丁目１６番２０号,078-451-1777,●,●,●,●,,
7,ネッツトヨタゾナ神戸株式会社,兵庫県神戸市中央区磯辺通４丁目２－１２,078-242-1188,https://zona-kobe.jp,,,,,,,,六甲店,神戸市灘区琵琶町３丁目１番２７号,078-801-7380,●,●,●,●,,
8,ネッツトヨタゾナ神戸株式会社,兵庫県神戸市中央区磯辺通４丁目２－１２,078-242-1188,https://zona-kobe.jp,,,,,,,,兵庫店,神戸市兵庫区駅南通１丁目１番３７号,078-651-7051,●,●,●,●,,
9,ネッツトヨタゾナ神戸株式会社,兵庫県神戸市中央区磯辺通４丁目２－１２,078-242-1188,https://zona-kobe.jp,,,,,,,,北神店,神戸市北区有野中町２丁目１３番１１号,078-987-3188,●,●,●,●,●,●
10,ネッツトヨタゾナ神戸株式会社,兵庫県神戸市中央区磯辺通４丁目２－１２,078-242-1188,https://zona-kobe.jp,,,,,,,,三木店,三木市別所町小林７３４－７４８,0794-85-8105,●,●,●,●,,
