,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,旭川店,旭川市４条通２丁目,0166-22-6112,●,●,●,●,,
1,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,永山店,旭川市永山２条１４丁目２番１７号,0166-48-1971,●,●,●,●,,
2,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,タムザ神居,旭川市神居４条１丁目１番３０号,0166-61-6111,●,●,●,●,●,●
3,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,末広店,旭川市末広１条４丁目１番３３号,0166-54-2911,●,●,●,●,,
4,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,東光店,旭川市神楽岡１４条９丁目１番３号,0166-60-8020,●,●,●,●,,
5,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,東旭川店,旭川市東旭川北１条１丁目３番地３１,0166-36-2333,●,●,●,●,,
6,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,稚内店,稚内市大黒５丁目５番２６号,0162-23-4680,●,●,●,●,,
7,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,枝幸店,枝幸郡枝幸町岬町１０８０番地１,0163-62-1611,●,●,●,●,,
8,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,留萌店,留萌市五十嵐町３丁目５番４号,0164-42-2555,●,●,●,●,,
9,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,名寄店,名寄市西４条南１０丁目１番地の５,01654-2-3166,●,●,●,●,,
10,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,士別店,士別市大通西１８丁目４６３番地２２,0165-23-3591,●,●,●,●,,
11,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,富良野店,富良野市新富町３番１０号,0167-22-3175,●,●,●,●,,
12,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,深川店,深川市北光町３丁目４番１７号,0164-23-4311,●,●,●,●,,
13,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,羽幌店,苫前郡羽幌町幸町５２番地,0164-62-2541,●,●,●,●,,
14,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,北見店,北見市栄町２丁目１番地６,0157-24-2191,●,●,●,●,,
15,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,紋別店,紋別市渚滑町１丁目,0158-24-3161,●,●,●,●,,
16,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,遠軽店,紋別郡遠軽町南町３丁目,0158-42-3195,●,●,●,●,,
17,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,美幌店,網走郡美幌町字美芳１８番地２,0152-73-4151,●,●,●,●,,
18,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,網走店,網走市大曲１丁目１４番９号,0152-43-4331,●,●,●,●,,
19,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,斜里店,斜里郡斜里町光陽町６９番地１,0152-23-3191,●,●,●,●,,
20,旭川トヨタ自動車株式会社,旭川市４条通２丁目,0166-22-6111,http://www.asahikawatoyota.jp/,,,,,,,,Ｕ－Ｃａｒステーション,旭川市神居５条１丁目,0166-61-0120,,●,●,,,
