,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ山口株式会社,山口県周南市新地１丁目６番１号,0834-22-2000,https://corolla-yamaguchi.com,,,,,,,,Felix88 トヨタカローラ山口 岩国店,山口県岩国市新港町２丁目１番１８号,0827-22-4288,●,,●,●,,
1,トヨタカローラ山口株式会社,山口県周南市新地１丁目６番１号,0834-22-2000,https://corolla-yamaguchi.com,,,,,,,,Felix88岩国 HACHI-HACHI 中古車Box,山口県岩国市新港２丁目１－１８,0827-35-5335,,●,●,,,
2,トヨタカローラ山口株式会社,山口県周南市新地１丁目６番１号,0834-22-2000,https://corolla-yamaguchi.com,,,,,,,,南岩国店,山口県岩国市南岩国町１丁目１５－４０,0827-32-1100,●,,●,●,,
3,トヨタカローラ山口株式会社,山口県周南市新地１丁目６番１号,0834-22-2000,https://corolla-yamaguchi.com,,,,,,,,柳井店,山口県柳井市南町３丁目７番１２号,0820-22-1588,●,,●,●,,
4,トヨタカローラ山口株式会社,山口県周南市新地１丁目６番１号,0834-22-2000,https://corolla-yamaguchi.com,,,,,,,,柳井マイカーセンター,山口県熊毛郡平生町大字平生村８９１番,0820-57-0111,,●,●,●,,
5,トヨタカローラ山口株式会社,山口県周南市新地１丁目６番１号,0834-22-2000,https://corolla-yamaguchi.com,,,,,,,,光店,山口県光市中央１丁目２番１２号,0833-71-2488,●,,●,●,,
6,トヨタカローラ山口株式会社,山口県周南市新地１丁目６番１号,0834-22-2000,https://corolla-yamaguchi.com,,,,,,,,Felix88 トヨタカローラ山口 下松望町店,山口県下松市望町４丁目５－１５,0833-41-8850,●,,●,●,,
7,トヨタカローラ山口株式会社,山口県周南市新地１丁目６番１号,0834-22-2000,https://corolla-yamaguchi.com,,,,,,,,徳山店,山口県周南市新地１丁目６番１号,0834-22-2002,●,,●,●,,
8,トヨタカローラ山口株式会社,山口県周南市新地１丁目６番１号,0834-22-2000,https://corolla-yamaguchi.com,,,,,,,,徳山マイカーセンター,山口県周南市新地１丁目１番２７号,0834-32-2360,,●,●,,,
9,トヨタカローラ山口株式会社,山口県周南市新地１丁目６番１号,0834-22-2000,https://corolla-yamaguchi.com,,,,,,,,防府店,山口県防府市八王子１丁目２９番１６号,0835-22-5195,●,,●,●,,
