,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,徳島トヨペット株式会社,徳島市昭和町８－７（２階）,088-622-9131,https://www.p-tokushima.co.jp,,,,,,,,徳島昭和店,徳島市昭和町８丁目７番地,088-622-9138,●,,●,●,,
1,徳島トヨペット株式会社,徳島市昭和町８－７（２階）,088-622-9131,https://www.p-tokushima.co.jp,,,,,,,,マイカーステージ,徳島市昭和町８ー４４,088-622-0416,,●,●,,,
2,徳島トヨペット株式会社,徳島市昭和町８－７（２階）,088-622-9131,https://www.p-tokushima.co.jp,,,,,,,,シジョーマルシェ北島,板野郡北島町鯛浜字西ノ須１６２ー１,088-697-2777,●,,●,●,,
3,徳島トヨペット株式会社,徳島市昭和町８－７（２階）,088-622-9131,https://www.p-tokushima.co.jp,,,,,,,,Ｕ－Ｃａｒマルシェ北島,板野郡北島町鯛浜字西ノ須１６２－１,088-697-2788,,●,●,,,
4,徳島トヨペット株式会社,徳島市昭和町８－７（２階）,088-622-9131,https://www.p-tokushima.co.jp,,,,,,,,鳴門店,鳴門市大津町木津野字東辰己１２ー２,088-685-2161,●,,●,●,,
5,徳島トヨペット株式会社,徳島市昭和町８－７（２階）,088-622-9131,https://www.p-tokushima.co.jp,,,,,,,,阿南店,阿南市見能林町青木２５７ー２,0884-22-2450,●,,●,●,,
6,徳島トヨペット株式会社,徳島市昭和町８－７（２階）,088-622-9131,https://www.p-tokushima.co.jp,,,,,,,,海部店,海部郡海陽町四方原字大道西１１ー１,0884-73-0229,●,●,●,●,,
7,徳島トヨペット株式会社,徳島市昭和町８－７（２階）,088-622-9131,https://www.p-tokushima.co.jp,,,,,,,,鴨島店,吉野川市鴨島町上下島字呉島５３２－１,0883-24-2155,●,,●,●,,
8,徳島トヨペット株式会社,徳島市昭和町８－７（２階）,088-622-9131,https://www.p-tokushima.co.jp,,,,,,,,テクノリバー石井店,名西郡石井町高川原字桜間２２５ー５,088-674-7001,●,,●,●,,
9,徳島トヨペット株式会社,徳島市昭和町８－７（２階）,088-622-9131,https://www.p-tokushima.co.jp,,,,,,,,三加茂店,三好郡東みよし町加茂５８１７－１,0883-82-3210,●,,●,●,,
