,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,香川トヨタ,香川県高松市春日町1378番地,087-843-8800,http://kagawa-toyota.jp,,,,,,,,ルート３２　中央店,香川県高松市国分寺町福家甲１１２９－２,087-874-3200,●,●,●,●,●,●
1,香川トヨタ,香川県高松市春日町1378番地,087-843-8800,http://kagawa-toyota.jp,,,,,,,,香西店,香川県高松市香西南町５７７－２,087-887-1111,●,●,●,●,,
2,香川トヨタ,香川県高松市春日町1378番地,087-843-8800,http://kagawa-toyota.jp,,,,,,,,高松番町店,香川県高松市番町２丁目５－１４,087-851-7155,●,●,●,●,,
3,香川トヨタ,香川県高松市春日町1378番地,087-843-8800,http://kagawa-toyota.jp,,,,,,,,高松花園店,香川県高松市観光通２丁目５－２２,087-834-5555,●,●,●,●,,
4,香川トヨタ,香川県高松市春日町1378番地,087-843-8800,http://kagawa-toyota.jp,,,,,,,,屋島店,香川県高松市春日町１３７８,087-843-2056,●,●,●,●,,
5,香川トヨタ,香川県高松市春日町1378番地,087-843-8800,http://kagawa-toyota.jp,,,,,,,,高松春日店,香川県高松市東山崎町９２３－１,087-887-6666,●,●,●,●,,
6,香川トヨタ,香川県高松市春日町1378番地,087-843-8800,http://kagawa-toyota.jp,,,,,,,,高松南店,香川県高松市鹿角町２７－１,087-868-3350,●,●,●,●,,
7,香川トヨタ,香川県高松市春日町1378番地,087-843-8800,http://kagawa-toyota.jp,,,,,,,,レインボーロード店,香川県高松市松縄町１１３６－１９,087-869-8888,●,●,●,●,,
8,香川トヨタ,香川県高松市春日町1378番地,087-843-8800,http://kagawa-toyota.jp,,,,,,,,坂出店,香川県坂出市宮下町２０００－１,0877-46-5522,●,●,●,●,,
9,香川トヨタ,香川県高松市春日町1378番地,087-843-8800,http://kagawa-toyota.jp,,,,,,,,ときめっく丸亀店,香川県丸亀市田村町１２５５,0877-22-3201,●,●,●,●,,
10,香川トヨタ,香川県高松市春日町1378番地,087-843-8800,http://kagawa-toyota.jp,,,,,,,,丸亀田村店,香川県丸亀市田村町９５０,0877-24-7777,●,●,●,●,,
11,香川トヨタ,香川県高松市春日町1378番地,087-843-8800,http://kagawa-toyota.jp,,,,,,,,観音寺店,香川県観音寺市吉岡町６６－１,0875-25-7211,●,●,●,●,,
12,香川トヨタ,香川県高松市春日町1378番地,087-843-8800,http://kagawa-toyota.jp,,,,,,,,Ｕ－Ｃａｒ　ルート３２　中央店,香川県高松市国分寺町福家甲１１２９－２,087-874-3030,,●,●,●,,
13,香川トヨタ,香川県高松市春日町1378番地,087-843-8800,http://kagawa-toyota.jp,,,,,,,,東かがわトヨタ自動車販売本店,香川県東かがわ市西村１５０１番地１,0879-55-0111,●,●,●,●,,
