,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,函館トヨタ,北海道　函館市昭和４丁目２２番５号,0138-41-6191,https://www.hakodatetoyota.co.jp,,,,,,,,昭和店,北海道　函館市昭和４丁目２２番５号,0138-41-6192,●,●,●,●,●,●
1,函館トヨタ,北海道　函館市昭和４丁目２２番５号,0138-41-6191,https://www.hakodatetoyota.co.jp,,,,,,,,中央店,北海道　函館市昭和１丁目２８番１２号,0138-45-1331,●,●,●,●,,
2,函館トヨタ,北海道　函館市昭和４丁目２２番５号,0138-41-6191,https://www.hakodatetoyota.co.jp,,,,,,,,松風店,北海道　函館市大森町２６番１６号,0138-23-0150,●,●,●,●,,
3,函館トヨタ,北海道　函館市昭和４丁目２２番５号,0138-41-6191,https://www.hakodatetoyota.co.jp,,,,,,,,本通店,北海道　函館市本通４丁目５番１２号,0138-55-1125,●,●,●,●,,
4,函館トヨタ,北海道　函館市昭和４丁目２２番５号,0138-41-6191,https://www.hakodatetoyota.co.jp,,,,,,,,七重浜店,北海道　北斗市七重浜８丁目７番５号,0138-49-5911,●,●,●,●,,
5,函館トヨタ,北海道　函館市昭和４丁目２２番５号,0138-41-6191,https://www.hakodatetoyota.co.jp,,,,,,,,八雲店,北海道　二海郡八雲町東雲町２４番地２７,0137-62-3171,●,●,●,●,,
6,函館トヨタ,北海道　函館市昭和４丁目２２番５号,0138-41-6191,https://www.hakodatetoyota.co.jp,,,,,,,,江差店,北海道　檜山郡江差町字柳崎町１７０番地,0139-53-6221,●,●,●,●,,
7,函館トヨタ,北海道　函館市昭和４丁目２２番５号,0138-41-6191,https://www.hakodatetoyota.co.jp,,,,,,,,木古内店,北海道　上磯郡木古内町字新道１０７番地１８,01392-2-3343,●,●,●,●,,
8,函館トヨタ,北海道　函館市昭和４丁目２２番５号,0138-41-6191,https://www.hakodatetoyota.co.jp,,,,,,,,森店／ダイハツ森,北海道　茅部郡森町字森川町２９２番地１,01374-2-0101,●,●,●,●,,
9,函館トヨタ,北海道　函館市昭和４丁目２２番５号,0138-41-6191,https://www.hakodatetoyota.co.jp,,,,,,,,ニューロード店,北海道　函館市石川町１６９番地２２,0138-46-6193,●,●,●,●,,
