,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ愛媛株式会社,愛媛県松山市中央１丁目１６－５,089-922-3311,http://toyota-corolla-ehime.jp/,,,,,,,,中央通店,松山市中央１丁目１６－５,089-922-3321,●,●,●,●,●,●
1,トヨタカローラ愛媛株式会社,愛媛県松山市中央１丁目１６－５,089-922-3311,http://toyota-corolla-ehime.jp/,,,,,,,,松山東店,松山市北久米町７７７－１,089-975-1134,●,●,●,●,,
2,トヨタカローラ愛媛株式会社,愛媛県松山市中央１丁目１６－５,089-922-3311,http://toyota-corolla-ehime.jp/,,,,,,,,松山保免店,松山市保免中２丁目９－３２,089-946-6221,●,●,●,●,,
3,トヨタカローラ愛媛株式会社,愛媛県松山市中央１丁目１６－５,089-922-3311,http://toyota-corolla-ehime.jp/,,,,,,,,三島・川之江店,四国中央市下柏町７２７－１,0896-24-5749,●,●,●,●,,
4,トヨタカローラ愛媛株式会社,愛媛県松山市中央１丁目１６－５,089-922-3311,http://toyota-corolla-ehime.jp/,,,,,,,,新居浜店,新居浜市中村１丁目４－４３,0897-43-7464,●,●,●,●,,
5,トヨタカローラ愛媛株式会社,愛媛県松山市中央１丁目１６－５,089-922-3311,http://toyota-corolla-ehime.jp/,,,,,,,,西条店,西条市玉津６３０－１,0897-52-1588,●,●,●,●,,
6,トヨタカローラ愛媛株式会社,愛媛県松山市中央１丁目１６－５,089-922-3311,http://toyota-corolla-ehime.jp/,,,,,,,,今治店,今治市北高下町２丁目２－４１,0898-23-3568,●,●,●,●,,
7,トヨタカローラ愛媛株式会社,愛媛県松山市中央１丁目１６－５,089-922-3311,http://toyota-corolla-ehime.jp/,,,,,,,,大洲店,大洲市東若宮２－１１,0893-25-0721,●,●,●,●,,
8,トヨタカローラ愛媛株式会社,愛媛県松山市中央１丁目１６－５,089-922-3311,http://toyota-corolla-ehime.jp/,,,,,,,,八幡浜店,八幡浜市産業通７－１０,0894-24-4311,●,●,●,●,,
9,トヨタカローラ愛媛株式会社,愛媛県松山市中央１丁目１６－５,089-922-3311,http://toyota-corolla-ehime.jp/,,,,,,,,宇和島店,宇和島市祝森甲３０６１－１,0895-27-2600,●,●,●,●,,
