,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ旭川株式会社,北海道旭川市忠和８条６丁目１－５,0166-61-1212,https://www.netz-asahikawa.jp/,,,,,,,,かむい店,旭川市忠和８条６丁目１番５号,0166-62-0010,●,,●,●,,
1,ネッツトヨタ旭川株式会社,北海道旭川市忠和８条６丁目１－５,0166-61-1212,https://www.netz-asahikawa.jp/,,,,,,,,ブルーゾーンかむい,旭川市忠和８条６丁目１番５号,0166-62-0010,,●,●,●,,
2,ネッツトヨタ旭川株式会社,北海道旭川市忠和８条６丁目１－５,0166-61-1212,https://www.netz-asahikawa.jp/,,,,,,,,ながやま店,旭川市永山２条３丁目２番２０号,0166-48-2043,●,●,●,●,,
3,ネッツトヨタ旭川株式会社,北海道旭川市忠和８条６丁目１－５,0166-61-1212,https://www.netz-asahikawa.jp/,,,,,,,,とよおか店,旭川市豊岡４条５丁目９番９号,0166-34-0010,●,●,●,●,,
4,ネッツトヨタ旭川株式会社,北海道旭川市忠和８条６丁目１－５,0166-61-1212,https://www.netz-asahikawa.jp/,,,,,,,,かぐらおか店,旭川市神楽岡１４条６丁目２番２７号,0166-66-0010,●,●,●,●,,
5,ネッツトヨタ旭川株式会社,北海道旭川市忠和８条６丁目１－５,0166-61-1212,https://www.netz-asahikawa.jp/,,,,,,,,わっかない店,稚内市潮見４丁目５番２６号,0162-32-0010,●,●,●,●,,
6,ネッツトヨタ旭川株式会社,北海道旭川市忠和８条６丁目１－５,0166-61-1212,https://www.netz-asahikawa.jp/,,,,,,,,なよろ店,名寄市字徳田５０番地,01654-2-0010,●,●,●,●,,
7,ネッツトヨタ旭川株式会社,北海道旭川市忠和８条６丁目１－５,0166-61-1212,https://www.netz-asahikawa.jp/,,,,,,,,しべつ店,士別市大通東１５丁目３１４４番地２０４,0165-22-1212,●,●,●,●,,
8,ネッツトヨタ旭川株式会社,北海道旭川市忠和８条６丁目１－５,0166-61-1212,https://www.netz-asahikawa.jp/,,,,,,,,るもい店,留萌市野本町７３番地,0164-43-0010,●,●,●,●,,
9,ネッツトヨタ旭川株式会社,北海道旭川市忠和８条６丁目１－５,0166-61-1212,https://www.netz-asahikawa.jp/,,,,,,,,ふかがわ店,深川市北光町３丁目１番１０号,0164-22-2120,●,●,●,●,,
10,ネッツトヨタ旭川株式会社,北海道旭川市忠和８条６丁目１－５,0166-61-1212,https://www.netz-asahikawa.jp/,,,,,,,,ふらの店,富良野市新富町３番１３号,0167-23-3166,●,●,●,●,,
