,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,本店,佐賀市嘉瀬町大字扇町２４８０番地,0952-24-4177,●,●,●,●,,
1,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,大財店,佐賀市大財４丁目１番地の３,0952-29-6711,●,●,●,●,,
2,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,鳥栖インター店,鳥栖市神辺町字中川原９２番地の１,0942-83-4027,●,●,●,●,,
3,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,神埼店,神埼市神埼町大字本告牟田６７６,0952-52-5121,●,●,●,●,●,●
4,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,武雄店,武雄市朝日町大字甘久１３２５番地,0954-23-1155,●,●,●,●,,
5,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,鹿島店,鹿島市大字井手３８４番地,0954-62-3103,●,●,●,●,,
6,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,唐津店,唐津市和多田天満町１丁目１番９号,0955-73-3161,●,●,●,●,,
7,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,伊万里店,伊万里市二里町大里乙１１６番地,0955-23-5278,●,●,●,●,,
8,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,開成店,佐賀市開成６丁目５番２０号,0952-31-6221,●,●,●,●,,
9,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,山本店,唐津市山本１７４９番地,0955-70-3506,●,●,●,●,,
10,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,新栄店,佐賀市新栄西２－６－７,0952-25-3551,●,●,●,●,,
11,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,高木瀬店,佐賀市高木瀬西６丁目１０４５－１,0952-31-5533,●,●,●,●,,
12,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,巨勢店,佐賀市巨勢町牛島１８１－５,0952-24-2101,●,●,●,●,,
13,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,唐津バイパス店,唐津市和多田大土井９－２３,0955-73-8333,●,●,●,●,,
14,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,鳥栖店,鳥栖市村田町８３５－６,0942-83-9880,●,●,●,●,,
15,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,武雄バイパス店,武雄市武雄町富岡１２６６１－１,0954-23-4181,●,●,●,●,,
16,佐賀トヨタ自動車,佐賀県佐賀市嘉瀬町大字扇町２４８０,0952-24-4171,https://www.sagatoyota.co.jp,,,,,,,,伊万里バイパス店,伊万里市大坪町乙３３７－３,0955-23-5511,●,●,●,●,,
