,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ長崎株式会社,長崎県長崎市　稲佐町　２－１０,095-861-9490,http://www.corolla-nagasaki.jp/,,,,,,,,稲佐店,長崎県長崎市稲佐町２－１０,095-861-1123,●,,●,●,,
1,トヨタカローラ長崎株式会社,長崎県長崎市　稲佐町　２－１０,095-861-9490,http://www.corolla-nagasaki.jp/,,,,,,,,東長崎店,長崎県長崎市矢上町２１－１７,095-839-8328,●,,●,●,,
2,トヨタカローラ長崎株式会社,長崎県長崎市　稲佐町　２－１０,095-861-9490,http://www.corolla-nagasaki.jp/,,,,,,,,南長崎店,長崎県長崎市磯道町２１２,095-878-1880,●,,●,●,,
3,トヨタカローラ長崎株式会社,長崎県長崎市　稲佐町　２－１０,095-861-9490,http://www.corolla-nagasaki.jp/,,,,,,,,時津店,長崎県西彼杵郡時津町日並郷３６０８,095-882-2887,●,●,●,●,,
4,トヨタカローラ長崎株式会社,長崎県長崎市　稲佐町　２－１０,095-861-9490,http://www.corolla-nagasaki.jp/,,,,,,,,五島店,長崎県五島市吉久木町６９６,0959-72-6201,●,,●,●,,
5,トヨタカローラ長崎株式会社,長崎県長崎市　稲佐町　２－１０,095-861-9490,http://www.corolla-nagasaki.jp/,,,,,,,,佐世保大塔店,長崎県佐世保市田ノ浦町５－４０,0956-38-3231,●,●,●,●,,
6,トヨタカローラ長崎株式会社,長崎県長崎市　稲佐町　２－１０,095-861-9490,http://www.corolla-nagasaki.jp/,,,,,,,,佐世保相浦店,長崎県佐世保市愛宕町１４１番１,0956-47-5353,●,,●,●,,
7,トヨタカローラ長崎株式会社,長崎県長崎市　稲佐町　２－１０,095-861-9490,http://www.corolla-nagasaki.jp/,,,,,,,,諫早店,長崎県諫早市小川町４０－１,0957-22-0888,●,●,●,●,,
8,トヨタカローラ長崎株式会社,長崎県長崎市　稲佐町　２－１０,095-861-9490,http://www.corolla-nagasaki.jp/,,,,,,,,島原店,長崎県島原市田町６９３－１,0957-62-3052,●,,●,●,,
9,トヨタカローラ長崎株式会社,長崎県長崎市　稲佐町　２－１０,095-861-9490,http://www.corolla-nagasaki.jp/,,,,,,,,大村店,長崎県大村市杭出津２丁目７２１－１,0957-53-1178,●,,●,●,,
10,トヨタカローラ長崎株式会社,長崎県長崎市　稲佐町　２－１０,095-861-9490,http://www.corolla-nagasaki.jp/,,,,,,,,ユーカーランド久山,長崎県諫早市久山町２４６２－４,0957-20-9338,,●,●,,,
