,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド田崎店,熊本市西区上代１丁目２－１,096-326-3600,●,●,●,●,,
1,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド山鹿店,山鹿市鹿本町御宇田６７９－１,0968-42-3200,●,●,●,●,,
2,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールドアンビー合志店,熊本県合志市竹迫２２９８,096-247-0070,●,●,●,●,,
3,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド健軍桜木店,熊本市東区桜木１丁目１９－２６,096-365-3151,●,●,●,●,,
4,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,オートモール　コラス御船店,熊本県上益城郡御船町小坂塘下１５１２－１,096-281-7820,●,●,●,●,,
5,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド川尻店,熊本市南区南高江６丁目４－１２,096-358-1200,●,●,●,●,,
6,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド清水店,熊本市北区飛田４丁目９－１３３,096-344-1811,●,●,●,●,,
7,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド東バイパス店,熊本市東区新南部６丁目３－１２５,096-382-3611,●,●,●,●,,
8,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,東バイパスマイカーセンター,熊本市東区御領３丁目１８－１５,096-380-7600,,●,●,●,,
9,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド浜線店,熊本市南区出仲間９丁目２－５０,096-378-4111,●,●,●,●,,
10,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド天草店,天草市東浜町７－６,0969-23-2151,●,●,●,●,,
11,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド荒尾店,荒尾市増永１９０１－２,0968-63-2587,●,●,●,●,,
12,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド八代店,八代市長田町３２３１－１,0965-33-3411,●,●,●,●,,
13,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド水俣店,水俣市昭和町２丁目１－５,0966-63-1265,●,●,●,●,,
14,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド人吉店,人吉市下林町２２３－３,0966-23-3021,●,●,●,●,,
15,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド玉名店,玉名市岱明町庄山６３４－５,0968-57-5100,●,●,●,●,,
16,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド松橋店,宇城市松橋町両仲間９７－１,0964-33-1166,●,●,●,●,,
17,ネッツトヨタ熊本株式会社,熊本県熊本市東区新南部6-3-125,096-382-1234,http://www.netz-k.com/,,,,,,,,ネッツワールド阿蘇店,阿蘇市黒川３３－３,0967-34-2525,●,●,●,●,,
