,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,宮崎トヨタ,宮崎市大字芳士字谷口６９２－１７,0985-39-2211,https://www.miyazakitoyota.jp/,,,,,,,,カローラ宮崎花ヶ島店,宮崎市花ヶ島町立毛　１００７番地１,0985-23-5200,●,●,●,●,,
1,宮崎トヨタ,宮崎市大字芳士字谷口６９２－１７,0985-39-2211,https://www.miyazakitoyota.jp/,,,,,,,,カローラＵ－Ｃａｒ花ヶ島店,宮崎市花ケ島町立毛　１００３番地,0985-25-1120,●,●,●,,,
2,宮崎トヨタ,宮崎市大字芳士字谷口６９２－１７,0985-39-2211,https://www.miyazakitoyota.jp/,,,,,,,,ネッツヒムカ花ヶ島店,宮崎市花ケ島町新地橋１１１０番地１,0985-25-1115,●,●,●,●,,
3,宮崎トヨタ,宮崎市大字芳士字谷口６９２－１７,0985-39-2211,https://www.miyazakitoyota.jp/,,,,,,,,ＳＵＶ　ＢＡＳＥ　宮崎店,宮崎市大字島之内字湯取６２４６－１,0985-41-6833,●,●,●,●,,
4,宮崎トヨタ,宮崎市大字芳士字谷口６９２－１７,0985-39-2211,https://www.miyazakitoyota.jp/,,,,,,,,ネッツヒムカ芳士店マイカセンター,宮崎市大字芳士字中原６１０番地,0985-39-1177,●,●,●,,,
5,宮崎トヨタ,宮崎市大字芳士字谷口６９２－１７,0985-39-2211,https://www.miyazakitoyota.jp/,,,,,,,,ネッツ宮崎花ヶ島マイカ－センタ－,宮崎市大字芳士字谷口６９２－５０,0985-39-5151,●,●,●,,,
6,宮崎トヨタ,宮崎市大字芳士字谷口６９２－１７,0985-39-2211,https://www.miyazakitoyota.jp/,,,,,,,,ネッツ宮崎花ヶ島店,宮崎市大字芳士字谷口６９２番地５０号,0985-39-5151,●,●,●,●,,
7,宮崎トヨタ,宮崎市大字芳士字谷口６９２－１７,0985-39-2211,https://www.miyazakitoyota.jp/,,,,,,,,カローラ宮崎空港店,宮崎市大字赤江字飛江田２０番地１,0985-56-2111,●,●,●,●,,
8,宮崎トヨタ,宮崎市大字芳士字谷口６９２－１７,0985-39-2211,https://www.miyazakitoyota.jp/,,,,,,,,ネッツ宮崎郡司分店,宮崎市大字郡司分甲１０５６－１,0985-56-1248,●,●,●,●,,
9,宮崎トヨタ,宮崎市大字芳士字谷口６９２－１７,0985-39-2211,https://www.miyazakitoyota.jp/,,,,,,,,カローラ宮崎大塚店,宮崎市大塚町池ノ内　１１８４番地１,0985-47-1155,●,●,●,●,,
