,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,伊敷店,鹿児島市下伊敷一丁目４２番３７号,099-228-5711,●,,●,●,,
1,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,ＫＴＳオートシティ,鹿児島市与次郎二丁目４番４３号,099-255-9983,,●,●,,,
2,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,与次郎店,鹿児島市与次郎一丁目１１番２０号,099-252-3451,●,●,●,,,
3,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,南鹿児島店,鹿児島市宇宿二丁目２３番２３号,099-253-9666,●,,●,●,●,●
4,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,中山店,鹿児島市山田町６７０番地,099-275-2111,●,,●,●,,
5,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,谷山店,鹿児島市谷山港三丁目１番４３号,099-261-4151,●,,●,●,,
6,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,指宿店,指宿市東方１０８１８番地１,0993-25-3211,●,,●,●,,
7,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,遊輪館春日,鹿児島市春日町１３番９号,099-247-7168,●,,●,●,,
8,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,鹿児島店,鹿児島市西千石町１番２８号,099-223-6163,●,,●,●,,
9,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,鹿屋店,鹿屋市寿四丁目１０番３６号,0994-43-2882,●,,●,●,,
10,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,グリーンフィールド鹿屋,鹿屋市寿４丁目１０番３６号,0994-43-2883,,●,●,,,
11,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,グリーンフィールド川内,薩摩川内市矢倉町横通４２６０番地,0996-25-1235,,●,●,,,
12,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,川内店,薩摩川内市矢倉町横通４２６０番地,0996-25-1234,●,,●,●,,
13,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,大口店,伊佐市菱刈花北６０５－４,09952-6-3991,●,,●,●,,
14,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,加世田店,南さつま市加世田内山田３８８番地,0993-53-3311,●,,●,●,,
15,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,出水店,出水市大野原町９０番,0996-65-8777,●,,●,●,,
16,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,霧島店,霧島市隼人町真孝３７番１,0995-42-2171,●,,●,●,,
17,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,グリーンフィールド隼人,霧島市隼人町見次１１２８,0995-64-2255,,●,●,,,
18,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,姶良店,姶良市東餅田１７３５－１,0995-65-9111,●,,●,●,,
19,鹿児島トヨタ自動車株式会社,鹿児島市西千石町１－２８,099-223-6161,http://www.k-toyota.co.jp,,,,,,,,大隅店,曽於市大隅町月野１９３５番１,0994-82-4141,●,,●,●,,
