,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウンシーサイド店,沖縄県豊見城市字与根５０－１１３,098-856-1101,●,●,●,●,,
1,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウンとよさき店,沖縄県豊見城市豊崎３番５５,098-987-7070,●,●,●,●,,
2,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン糸満店,沖縄県糸満市字潮平７９７－７,098-852-3200,●,●,●,●,,
3,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン南風原店,沖縄県島尻郡南風原町宮平６６５,098-888-1021,●,,●,●,,
4,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン宮平店,沖縄県島尻郡南風原町字宮平６７０番地,098-888-0511,●,●,●,●,,
5,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウンぐすくま店,沖縄県浦添市城間４－７－３,098-877-2155,●,●,●,●,●,●
6,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン浦添店,沖縄県浦添市字港川２４７番地,098-877-3611,●,●,●,●,,
7,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン港川店,沖縄県浦添市港川２４４,098-879-1190,●,●,●,●,,
8,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン国場店,沖縄県那覇市国場３５０,098-834-1157,●,●,●,●,,
9,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン北谷店,沖縄県中頭郡北谷町伊平二丁目９番１６号,098-926-3900,●,●,●,●,,
10,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン読谷店,沖縄県中頭郡読谷村字大湾３５３－１,098-957-5525,●,●,●,●,,
11,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン池原店,沖縄県沖縄市池原２丁目１４番３号,098-929-1200,●,●,●,●,,
12,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン登川店,沖縄県沖縄市字登川２４４１－１,098-938-3611,●,●,●,●,,
13,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン松本店,沖縄県沖縄市松本７－１－３,098-938-7220,●,●,●,●,,
14,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウンうるま江洲店,沖縄県うるま市江洲５５０番地１,098-979-3040,●,●,●,●,●,●
15,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン 勢理客店,沖縄県浦添市勢理客４－１８－１,098-877-2525,●,●,●,●,●,●
16,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン那覇店,沖縄県那覇市奥武山町１６,098-857-1481,●,●,●,●,,
17,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウンコザ店,沖縄県沖縄市大里１－１２－２５,098-937-7911,●,●,●,●,,
18,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン名護店,沖縄県名護市宮里８７５－２０,0980-52-3300,●,●,●,●,,
19,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン宮古島支店,沖縄県宮古島市平良字下里１１５８－１,0980-72-2112,●,●,●,●,,
20,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン八重山支店,沖縄県石垣市登野城１２７５－１,0980-82-4477,●,●,●,●,,
21,沖縄トヨタ自動車,沖縄県浦添市勢理客4-18-1,098-877-2521,https://www.okinawa-toyota.co.jp/,,,,,,,,トヨタウン北谷ランド店,沖縄県中頭郡北谷町字宮城１－３７,098-926-2233,●,●,●,●,,
