,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,岩手トヨタ自動車株式会社,盛岡市上堂４－１２－１１,019-641-7111,https://iwate.toyota-dealer.jp/,,,,,,,,盛岡店,盛岡市上堂４丁目　　１２番１１号,019-648-8311,●,,●,●,●,●
1,岩手トヨタ自動車株式会社,盛岡市上堂４－１２－１１,019-641-7111,https://iwate.toyota-dealer.jp/,,,,,,,,新本宮店,盛岡市向中野三丁目１番１８号,019-631-3121,●,●,●,●,,
2,岩手トヨタ自動車株式会社,盛岡市上堂４－１２－１１,019-641-7111,https://iwate.toyota-dealer.jp/,,,,,,,,盛岡南店,紫波郡矢巾町高田第１４地割２－２３,019-697-5231,●,●,●,●,,
3,岩手トヨタ自動車株式会社,盛岡市上堂４－１２－１１,019-641-7111,https://iwate.toyota-dealer.jp/,,,,,,,,花巻店,花巻市二枚橋第６地割５３４,0198-30-2151,●,●,●,●,,
4,岩手トヨタ自動車株式会社,盛岡市上堂４－１２－１１,019-641-7111,https://iwate.toyota-dealer.jp/,,,,,,,,北上店,北上市北鬼柳３２地割８６番１,0197-64-1161,●,●,●,●,,
5,岩手トヨタ自動車株式会社,盛岡市上堂４－１２－１１,019-641-7111,https://iwate.toyota-dealer.jp/,,,,,,,,水沢店,奥州市水沢佐倉河字三反町８８－１,0197-24-4141,●,●,●,●,,
6,岩手トヨタ自動車株式会社,盛岡市上堂４－１２－１１,019-641-7111,https://iwate.toyota-dealer.jp/,,,,,,,,平泉店,西磐井郡平泉町平泉　字正法１－５,0191-46-2246,●,●,●,●,,
7,岩手トヨタ自動車株式会社,盛岡市上堂４－１２－１１,019-641-7111,https://iwate.toyota-dealer.jp/,,,,,,,,平泉店千厩サービス工場,一関市千厩町千厩　字上駒場３５３,0191-53-2281,,●,●,●,,
8,岩手トヨタ自動車株式会社,盛岡市上堂４－１２－１１,019-641-7111,https://iwate.toyota-dealer.jp/,,,,,,,,宮古店,宮古市太田２丁目　　１番２８号,0193-62-6211,●,●,●,●,,
9,岩手トヨタ自動車株式会社,盛岡市上堂４－１２－１１,019-641-7111,https://iwate.toyota-dealer.jp/,,,,,,,,釜石店,釜石市野田町１丁目　９番２６号,0193-23-6675,●,●,●,●,,
10,岩手トヨタ自動車株式会社,盛岡市上堂４－１２－１１,019-641-7111,https://iwate.toyota-dealer.jp/,,,,,,,,大船渡店,大船渡市猪川町　　　字久名畑２７番２,0192-26-2151,●,●,●,●,,
11,岩手トヨタ自動車株式会社,盛岡市上堂４－１２－１１,019-641-7111,https://iwate.toyota-dealer.jp/,,,,,,,,二戸店,二戸市堀野字馬場　　　　４４番地４,0195-23-3321,●,●,●,●,,
12,岩手トヨタ自動車株式会社,盛岡市上堂４－１２－１１,019-641-7111,https://iwate.toyota-dealer.jp/,,,,,,,,久慈店,久慈市夏井町鳥谷　第８地割４９の３,0194-53-3264,●,●,●,●,,
13,岩手トヨタ自動車株式会社,盛岡市上堂４－１２－１１,019-641-7111,https://iwate.toyota-dealer.jp/,,,,,,,,Ｕスペース盛岡,盛岡市上堂４丁目１２番１１号,019-641-6300,,●,●,,,
