,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ苫小牧株式会社,北海道苫小牧市柳町4丁目6-32,0144-55-7211,https://www.corolla-tomakomai.co.jp/,,,,,,,,とまこまい店,苫小牧市柳町４丁目６－３２,0144-55-7211,●,,●,●,●,●
1,トヨタカローラ苫小牧株式会社,北海道苫小牧市柳町4丁目6-32,0144-55-7211,https://www.corolla-tomakomai.co.jp/,,,,,,,,Ｕ－Ｃａｒ苫小牧店,苫小牧市柳町４丁目６―３４,0144-53-9100,,●,●,,,
2,トヨタカローラ苫小牧株式会社,北海道苫小牧市柳町4丁目6-32,0144-55-7211,https://www.corolla-tomakomai.co.jp/,,,,,,,,いとい店,苫小牧市字糸井１４４－７,0144-72-1711,●,●,●,●,●,●
3,トヨタカローラ苫小牧株式会社,北海道苫小牧市柳町4丁目6-32,0144-55-7211,https://www.corolla-tomakomai.co.jp/,,,,,,,,しらおい店,白老郡白老町字石山７－４４,0144-83-3191,●,●,●,●,,
4,トヨタカローラ苫小牧株式会社,北海道苫小牧市柳町4丁目6-32,0144-55-7211,https://www.corolla-tomakomai.co.jp/,,,,,,,,とみかわ店,沙流郡日高町富川西２丁目１－２,01456-2-0478,●,●,●,●,,
5,トヨタカローラ苫小牧株式会社,北海道苫小牧市柳町4丁目6-32,0144-55-7211,https://www.corolla-tomakomai.co.jp/,,,,,,,,むろらん店,室蘭市寿町３丁目２０－１,0143-44-6131,●,,●,●,,
6,トヨタカローラ苫小牧株式会社,北海道苫小牧市柳町4丁目6-32,0144-55-7211,https://www.corolla-tomakomai.co.jp/,,,,,,,,Ｕ－Ｃａｒ室蘭店,室蘭市寿町３丁目２１,0143-44-6135,,●,●,,,
7,トヨタカローラ苫小牧株式会社,北海道苫小牧市柳町4丁目6-32,0144-55-7211,https://www.corolla-tomakomai.co.jp/,,,,,,,,だて店,伊達市長和町４３１－１,0142-23-3725,●,●,●,●,,
8,トヨタカローラ苫小牧株式会社,北海道苫小牧市柳町4丁目6-32,0144-55-7211,https://www.corolla-tomakomai.co.jp/,,,,,,,,のぼりべつ店,登別市幌別町１丁目３番５,0143-88-1151,●,●,●,●,,
9,トヨタカローラ苫小牧株式会社,北海道苫小牧市柳町4丁目6-32,0144-55-7211,https://www.corolla-tomakomai.co.jp/,,,,,,,,ひだかトヨタ自動車販売しずない西店,北海道日高郡新ひだか町静内末広町３丁目１番２３号,0146-42-1191,●,●,●,●,,
10,トヨタカローラ苫小牧株式会社,北海道苫小牧市柳町4丁目6-32,0144-55-7211,https://www.corolla-tomakomai.co.jp/,,,,,,,,ひだかトヨタ自動車販売しずない東店,北海道日高郡新ひだか町静内末広町２丁目１番２７号,0146-42-1281,●,●,●,●,,
11,トヨタカローラ苫小牧株式会社,北海道苫小牧市柳町4丁目6-32,0144-55-7211,https://www.corolla-tomakomai.co.jp/,,,,,,,,ひだかトヨタ自動車販売うらかわ築地店,北海道浦河郡浦河町築地３丁目４番８,0146-22-2811,●,●,●,●,,
12,トヨタカローラ苫小牧株式会社,北海道苫小牧市柳町4丁目6-32,0144-55-7211,https://www.corolla-tomakomai.co.jp/,,,,,,,,ひだかトヨタ自動車販売うらかわ堺町店,北海道浦河郡浦河町堺町西２丁目１－１７,0146-22-3025,●,●,●,●,,
