,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,盛岡支店,盛岡市上田２－１９－４０,019-623-3881,●,,●,●,,
1,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,本社マイカーセンター,盛岡市上田２－１９－４０,019-653-1022,,●,●,,,
2,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,本宮支店,盛岡市向中野２丁目１９番３３号,019-656-5521,●,●,●,●,,
3,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,盛岡北支店,盛岡市厨川３－１２－１０,019-641-2461,●,●,●,●,,
4,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,盛岡南支店,盛岡市津志田中央２丁目１番３５号,019-638-3053,●,,●,●,,
5,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,トヨペットカーステーション,盛岡市津志田中央２丁目１番地４０号,019-638-8656,,●,●,,,
6,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,紫波支店,紫波郡紫波町桜町字浦田６－１,019-676-3211,●,●,●,●,,
7,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,花巻支店,花巻市桜町１－５６８,0198-24-2271,●,●,●,●,,
8,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,北上支店,北上市藤沢１９－１４,0197-64-4222,●,●,●,●,,
9,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,北上南店,北上市相去町平林２１－８４,0197-81-5300,●,●,●,●,,
10,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,水沢支店,奥州市水沢佐倉河字鐙田９８－１,0197-23-6176,●,●,●,●,,
11,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,一関支店,一関市山目字十二神４７－３,0191-25-2145,●,●,●,●,,
12,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,千厩支店,一関市千厩町千厩字下駒場１７０－１,0191-52-2265,●,●,●,●,,
13,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,大船渡支店,大船渡市大船渡町富沢４１－８,0192-27-3110,●,●,●,●,,
14,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,遠野支店,遠野市松崎町白岩１９－５２－１,0198-62-3157,●,●,●,●,,
15,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,釜石支店,釜石市千鳥町１－４－５,0193-23-1000,●,●,●,●,,
16,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,宮古支店,宮古市磯鶏１－６－７‐２,0193-62-6821,●,●,●,●,,
17,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,久慈支店,久慈市大川目町３－１６－３,0194-55-2231,●,●,●,●,,
18,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,二戸支店,二戸郡一戸町鳥越字野月内舘６５－１,0195-33-3125,●,●,●,●,,
19,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,沼宮内支店,岩手郡岩手町大字江刈内３－３１－７,0195-62-5131,●,●,●,●,,
20,岩手トヨペット株式会社,盛岡市上田２－１９－４０,019-651-3211,https://iwate.toyopet-dealer.jp/,,,,,,,,西根支店,八幡平市大更１９－７－１,0195-76-5211,●,●,●,●,,
