,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,かみどう店,岩手県盛岡市上堂４丁目６番５号,019-641-5111,●,●,●,●,,
1,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,盛岡インター店,岩手県盛岡市前潟１丁目２番５号,019-648-1188,●,●,●,●,,
2,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,盛南店,岩手県盛岡市本宮６丁目３３番３１号,019-656-5577,●,●,●,●,,
3,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,西バイパス店,岩手県盛岡市北飯岡３丁目１４番５２号,019-632-6161,●,●,●,●,●,●
4,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,南大橋店,岩手県盛岡市東仙北２丁目４番２４号,019-636-1111,●,●,●,●,,
5,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,矢巾店,岩手県紫波郡矢巾町医大通２丁目７番６６号,019-698-4711,●,●,●,●,,
6,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,しわ店,岩手県紫波郡紫波町日詰字西裏８４番地１,019-676-5151,●,●,●,●,,
7,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,西根店,岩手県八幡平市大更１８地割１２８番地８,0195-75-2020,●,●,●,●,,
8,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,二戸店,岩手県二戸市金田一字荒田１３０番地１,0195-27-4121,●,●,●,●,,
9,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,久慈店,岩手県久慈市長内町第３４地割１０番地１,0194-53-6145,●,●,●,●,,
10,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,宮古店,岩手県宮古市磯鶏３丁目４番８号,0193-62-6933,●,●,●,●,,
11,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,釜石店,岩手県釜石市野田町２丁目１番４１号,0193-23-5700,●,●,●,●,,
12,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,遠野店,岩手県遠野市松崎町白岩第１１地割２番地３４,0198-62-4836,●,●,●,●,,
13,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,上堂マイカーセンター,岩手県盛岡市上堂４丁目７番１４号,019-641-6666,,●,●,●,,
14,トヨタカローラ岩手株式会社,岩手県盛岡市上堂４丁目６番５号,019-641-5151,https://corolla-iwate.jp/,,,,,,,,盛岡西マイカーセンター,岩手県盛岡市本宮６丁目３３番３１号,019-631-2622,,●,●,,,
