,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ岩手株式会社,岩手県盛岡市東仙北２－１３－３５,019-636-2111,https://www.netz-i.co.jp/,,,,,,,,本社中央店,岩手県　盛岡市　東仙北二丁目１３－３５,019-636-2111,●,●,●,●,,
1,ネッツトヨタ岩手株式会社,岩手県盛岡市東仙北２－１３－３５,019-636-2111,https://www.netz-i.co.jp/,,,,,,,,紫波店,岩手県　紫波郡紫波町桜町字才土地１５８－１,019-672-1340,●,●,●,●,,
2,ネッツトヨタ岩手株式会社,岩手県盛岡市東仙北２－１３－３５,019-636-2111,https://www.netz-i.co.jp/,,,,,,,,西根店,岩手県　八幡平市　大更第１８地割３０３－１,0195-70-1151,●,●,●,●,,
3,ネッツトヨタ岩手株式会社,岩手県盛岡市東仙北２－１３－３５,019-636-2111,https://www.netz-i.co.jp/,,,,,,,,みたけ店,岩手県　盛岡市　みたけ四丁目１－３９,019-641-6525,●,●,●,●,,
4,ネッツトヨタ岩手株式会社,岩手県盛岡市東仙北２－１３－３５,019-636-2111,https://www.netz-i.co.jp/,,,,,,,,二戸店,岩手県　二戸市　金田一字上田面４３－２,0195-27-3920,●,●,●,●,,
5,ネッツトヨタ岩手株式会社,岩手県盛岡市東仙北２－１３－３５,019-636-2111,https://www.netz-i.co.jp/,,,,,,,,久慈店,岩手県　久慈市　大川目町第２地割６－６,0194-55-2121,●,●,●,●,,
6,ネッツトヨタ岩手株式会社,岩手県盛岡市東仙北２－１３－３５,019-636-2111,https://www.netz-i.co.jp/,,,,,,,,宮古店,宮古市　磯鶏一丁目６－７,0193-62-1212,●,●,●,●,,
7,ネッツトヨタ岩手株式会社,岩手県盛岡市東仙北２－１３－３５,019-636-2111,https://www.netz-i.co.jp/,,,,,,,,釜石店,岩手県　釜石市　野田町二丁目１５－３９,0193-23-3000,●,●,●,●,,
8,ネッツトヨタ岩手株式会社,岩手県盛岡市東仙北２－１３－３５,019-636-2111,https://www.netz-i.co.jp/,,,,,,,,花巻店,岩手県　花巻市　桜町１－６１１,0198-24-1135,●,●,●,●,,
9,ネッツトヨタ岩手株式会社,岩手県盛岡市東仙北２－１３－３５,019-636-2111,https://www.netz-i.co.jp/,,,,,,,,北上店,岩手県　北上市　鬼柳町糠塚１番地,0197-67-6010,●,●,●,●,,
10,ネッツトヨタ岩手株式会社,岩手県盛岡市東仙北２－１３－３５,019-636-2111,https://www.netz-i.co.jp/,,,,,,,,水沢店,岩手県　奥州市　水沢佐倉河字道下６２－１,0197-24-6113,●,●,●,●,,
11,ネッツトヨタ岩手株式会社,岩手県盛岡市東仙北２－１３－３５,019-636-2111,https://www.netz-i.co.jp/,,,,,,,,一関店,岩手県　西磐井郡平泉町平泉字塩沢１３２－１,0191-46-3312,●,●,●,●,,
