,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,モビリティガーデン奈良本店,奈良県奈良市南京終町２丁目２６９番地,0742-61-3305,●,,●,●,,●
1,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,JR奈良駅前店,奈良県奈良市杉ケ町３０,0742-22-1151,●,,●,●,,
2,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,モビリティガーデンＲＴ押熊,奈良県奈良市押熊町１４４５－４,0742-52-7301,●,,●,●,●,●
3,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,富雄店,奈良県奈良市鳥見町１丁目１－１２,0742-48-2201,●,,●,●,,
4,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,生駒店,奈良県生駒市高山町８２９１－１,0743-78-3171,●,,●,●,,
5,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,TRパーク東生駒,奈良県生駒市小明町２１０１－１,0743-73-8751,●,,●,●,,
6,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,大和小泉店,奈良県大和郡山市小林町西３ー１ー１２,0743-56-2233,●,,●,●,,
7,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,郡山店,奈良県大和郡山市筒井町１１４１番１,0743-56-3900,●,,●,●,,
8,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,TRDパーク西大和,奈良県生駒郡斑鳩町龍田西７丁目１－７,0745-74-2531,●,,●,●,,
9,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,田原本店,奈良県磯城郡田原本町唐古２９６,0744-32-8007,●,,●,●,●,●
10,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,モビリティガーデンＲＴ香芝,奈良県香芝市畑２丁目８７９－１,0745-76-1095,●,,●,●,,
11,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,桜井店,奈良県桜井市箸中８３９－３,0744-42-9551,●,●,●,●,,
12,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,モビリティガーデンＬＴ橿原,奈良県橿原市醍醐町３４８,0744-23-9261,●,,●,●,,
13,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,大和八木店,奈良県橿原市新賀町１３６－１,0744-24-4030,●,,●,●,,
14,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,モビリティガーデンＲＴ高田,奈良県大和高田市神楽６７－１,0745-52-1151,●,,●,●,,
15,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,モビリティガーデンＦＴ葛城,奈良県葛城市東室９３－３,0745-69-3751,●,,●,●,,
16,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,Ｔ＆Ｄパーク吉野,奈良県吉野郡大淀町桧垣本１０４０,0747-52-8601,●,,●,●,,
17,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,五條店,奈良県五條市今井５－５－１,0747-24-2571,●,●,●,●,,
18,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,Ｕ－Ｃａｒ　Ｍａｘ　奈良八条店,奈良県奈良市八条５丁目４３１－１,0742-30-0100,,●,●,,,
19,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,田原本マイカーセンター,奈良県磯城郡田原本町唐古２９６,0744-32-8033,,●,●,,,
20,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,Ｕ－ｃａｒ葛城店,奈良県葛城市東室９３－４,0745-69-1550,,●,●,,,
21,奈良トヨタ,奈良県奈良市南京終町2丁目269番地,0744-32-8001,https://www.naratoyota.jp/,,,,,,,,香芝支店マイカーセンター,奈良県香芝市尼寺２－２９９,0745-78-5811,,●,●,●,,
