,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ青森株式会社,青森市大字野木字野尻６１－４,017-773-8341,http://www.toyota-ca.co.jp/,,,,,,,,流通団地店,青森市野木字野尻６１－４,017-773-8338,●,●,●,●,,
1,トヨタカローラ青森株式会社,青森市大字野木字野尻６１－４,017-773-8341,http://www.toyota-ca.co.jp/,,,,,,,,青森中央店,青森県青森市大字浜田字玉川２４６番１,017-718-7739,●,,●,●,,
2,トヨタカローラ青森株式会社,青森市大字野木字野尻６１－４,017-773-8341,http://www.toyota-ca.co.jp/,,,,,,,,つくだ店,青森市南佃２丁目２７－２１,017-742-2125,●,,●,●,,
3,トヨタカローラ青森株式会社,青森市大字野木字野尻６１－４,017-773-8341,http://www.toyota-ca.co.jp/,,,,,,,,黒石店,黒石市中川字篠村３５－１,0172-53-3731,●,●,●,●,,
4,トヨタカローラ青森株式会社,青森市大字野木字野尻６１－４,017-773-8341,http://www.toyota-ca.co.jp/,,,,,,,,神田店,弘前市神田３丁目３－１３,0172-37-6111,●,,●,●,,
5,トヨタカローラ青森株式会社,青森市大字野木字野尻６１－４,017-773-8341,http://www.toyota-ca.co.jp/,,,,,,,,カーチョイス青山,弘前市青山４丁目２２－１,0172-37-6767,,●,●,●,,
6,トヨタカローラ青森株式会社,青森市大字野木字野尻６１－４,017-773-8341,http://www.toyota-ca.co.jp/,,,,,,,,城東店,弘前市外崎４丁目１－２,0172-27-4911,●,,●,●,,
7,トヨタカローラ青森株式会社,青森市大字野木字野尻６１－４,017-773-8341,http://www.toyota-ca.co.jp/,,,,,,,,桔梗野店,弘前市桔梗野２丁目４－１,0172-36-9088,●,,●,●,,
8,トヨタカローラ青森株式会社,青森市大字野木字野尻６１－４,017-773-8341,http://www.toyota-ca.co.jp/,,,,,,,,ベイブリッジ店,青森市沖舘３丁目１－６５,017-782-8881,●,,●,●,,
9,トヨタカローラ青森株式会社,青森市大字野木字野尻６１－４,017-773-8341,http://www.toyota-ca.co.jp/,,,,,,,,西滝店,青森市三内字稲元９０－１,017-766-0111,●,,●,●,,
10,トヨタカローラ青森株式会社,青森市大字野木字野尻６１－４,017-773-8341,http://www.toyota-ca.co.jp/,,,,,,,,柏店,つがる市柏鷺坂清留４－１４,0173-34-6003,●,●,●,●,,
