,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ八戸株式会社,八戸市小中野１－３－１５,0178-44-1124,http://www.tsukahara-cruise.co.jp/corolla/,,,,,,,,城下店,八戸市　城下４丁目　２２ー２３,0178-22-9255,●,,●,●,,
1,トヨタカローラ八戸株式会社,八戸市小中野１－３－１５,0178-44-1124,http://www.tsukahara-cruise.co.jp/corolla/,,,,,,,,Ｕ－ＭＡＸ八戸,八戸市　青葉３丁目　１４ー２５,0178-45-9555,,●,●,,,
2,トヨタカローラ八戸株式会社,八戸市小中野１－３－１５,0178-44-1124,http://www.tsukahara-cruise.co.jp/corolla/,,,,,,,,旭ヶ丘店,八戸市　大字新井田　字寺沢　１５ー６,0178-25-2223,●,,●,●,,
3,トヨタカローラ八戸株式会社,八戸市小中野１－３－１５,0178-44-1124,http://www.tsukahara-cruise.co.jp/corolla/,,,,,,,,三沢店,三沢市東岡三沢二丁目　４１ー７５,0176-53-2178,●,,●,●,,
4,トヨタカローラ八戸株式会社,八戸市小中野１－３－１５,0178-44-1124,http://www.tsukahara-cruise.co.jp/corolla/,,,,,,,,Ｕ－ＭＡＸ十和田,十和田市大字三本木字一本木沢２０６－１,0176-25-2255,,●,●,●,,
5,トヨタカローラ八戸株式会社,八戸市小中野１－３－１５,0178-44-1124,http://www.tsukahara-cruise.co.jp/corolla/,,,,,,,,十和田店,十和田市大字洞内字後野２３６－１,0176-25-2222,●,,●,●,,
6,トヨタカローラ八戸株式会社,八戸市小中野１－３－１５,0178-44-1124,http://www.tsukahara-cruise.co.jp/corolla/,,,,,,,,むつ店,むつ市　緑ヶ丘　３３－５,0175-28-2711,●,,●,●,,
7,トヨタカローラ八戸株式会社,八戸市小中野１－３－１５,0178-44-1124,http://www.tsukahara-cruise.co.jp/corolla/,,,,,,,,Ｕ－ＭＡＸむつ,むつ市緑ヶ丘３１－５,0175-28-2713,,●,●,,,
8,トヨタカローラ八戸株式会社,八戸市小中野１－３－１５,0178-44-1124,http://www.tsukahara-cruise.co.jp/corolla/,,,,,,,,石堂店,八戸市　長苗代２丁目　２６ー１７,0178-28-6131,●,,●,●,,
9,トヨタカローラ八戸株式会社,八戸市小中野１－３－１５,0178-44-1124,http://www.tsukahara-cruise.co.jp/corolla/,,,,,,,,根城店,八戸市　根城３丁目　４ー１０,0178-43-1174,●,,●,●,,
