,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタみちのく株式会社,青森県八戸市小中野１－３－１５,0178-22-2207,https://netz-toyota-michinoku.jp/,,,,,,,,青森店,青森市浜田玉川２２０,017-739-5511,●,●,●,●,,
1,ネッツトヨタみちのく株式会社,青森県八戸市小中野１－３－１５,0178-22-2207,https://netz-toyota-michinoku.jp/,,,,,,,,虹ヶ丘店,青森市浜館４－８－１,017-765-1755,●,,●,●,,
2,ネッツトヨタみちのく株式会社,青森県八戸市小中野１－３－１５,0178-22-2207,https://netz-toyota-michinoku.jp/,,,,,,,,弘前店,弘前市神田３－１－７,0172-33-6911,●,,●,●,,
3,ネッツトヨタみちのく株式会社,青森県八戸市小中野１－３－１５,0178-22-2207,https://netz-toyota-michinoku.jp/,,,,,,,,江陽店,八戸市江陽２－９－４２,0178-22-2217,●,,●,●,,
4,ネッツトヨタみちのく株式会社,青森県八戸市小中野１－３－１５,0178-22-2207,https://netz-toyota-michinoku.jp/,,,,,,,,西店,八戸市長苗代字元木３１－３,0178-20-1221,●,,●,●,,
5,ネッツトヨタみちのく株式会社,青森県八戸市小中野１－３－１５,0178-22-2207,https://netz-toyota-michinoku.jp/,,,,,,,,湊高台店,八戸市新井田水溜２－１,0178-31-6500,●,,●,●,,
6,ネッツトヨタみちのく株式会社,青森県八戸市小中野１－３－１５,0178-22-2207,https://netz-toyota-michinoku.jp/,,,,,,,,三沢店,上北郡おいらせ町青葉５丁目５０－１８１,0176-50-1288,●,●,●,●,,
7,ネッツトヨタみちのく株式会社,青森県八戸市小中野１－３－１５,0178-22-2207,https://netz-toyota-michinoku.jp/,,,,,,,,十和田出張所,十和田市洞内後野２３６ー１,0176-25-3333,●,,●,●,,
8,ネッツトヨタみちのく株式会社,青森県八戸市小中野１－３－１５,0178-22-2207,https://netz-toyota-michinoku.jp/,,,,,,,,むつ出張所,むつ市緑ヶ丘　３３－５,0175-28-2715,●,,●,●,,
9,ネッツトヨタみちのく株式会社,青森県八戸市小中野１－３－１５,0178-22-2207,https://netz-toyota-michinoku.jp/,,,,,,,,Ｕ－ＭＡＸ八戸店,八戸市青葉３－１４－２５,0178-22-2237,,●,●,,,
10,ネッツトヨタみちのく株式会社,青森県八戸市小中野１－３－１５,0178-22-2207,https://netz-toyota-michinoku.jp/,,,,,,,,Ｕ－ＭＡＸ弘前店,弘前市大字早稲田４丁目４－６,0172-29-4488,,●,●,●,,
