,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ盛岡株式会社,岩手県盛岡市東仙北２－１４－２０,019-635-5000,https://netz-morioka.co.jp/,,,,,,,,東仙北店,盛岡市東仙北二丁目１４番２０号,019-634-1111,●,●,●,●,,
1,ネッツトヨタ盛岡株式会社,岩手県盛岡市東仙北２－１４－２０,019-635-5000,https://netz-morioka.co.jp/,,,,,,,,厨川店,盛岡市厨川１丁目２番１２号,019-643-4111,●,●,●,●,,
2,ネッツトヨタ盛岡株式会社,岩手県盛岡市東仙北２－１４－２０,019-635-5000,https://netz-morioka.co.jp/,,,,,,,,本宮店,岩手県盛岡市向中野２丁目２２番３３号,019-636-3322,●,●,●,●,●,●
3,ネッツトヨタ盛岡株式会社,岩手県盛岡市東仙北２－１４－２０,019-635-5000,https://netz-morioka.co.jp/,,,,,,,,里川口店,花巻市里川口町４－３５,0198-22-2611,●,●,●,●,,
4,ネッツトヨタ盛岡株式会社,岩手県盛岡市東仙北２－１４－２０,019-635-5000,https://netz-morioka.co.jp/,,,,,,,,村崎野店,北上市村崎野１４－４６－１,0197-66-5577,●,●,●,●,,
5,ネッツトヨタ盛岡株式会社,岩手県盛岡市東仙北２－１４－２０,019-635-5000,https://netz-morioka.co.jp/,,,,,,,,佐倉河南店,奥州市水沢区佐倉河字後田８,0197-24-3221,●,●,●,●,,
6,ネッツトヨタ盛岡株式会社,岩手県盛岡市東仙北２－１４－２０,019-635-5000,https://netz-morioka.co.jp/,,,,,,,,一関大橋店,一関市山目字立沢１０９番１,0191-25-5080,●,●,●,●,,
7,ネッツトヨタ盛岡株式会社,岩手県盛岡市東仙北２－１４－２０,019-635-5000,https://netz-morioka.co.jp/,,,,,,,,磯鶏店,宮古市磯鶏１丁目６番１号,0193-63-7811,●,●,●,●,,
8,ネッツトヨタ盛岡株式会社,岩手県盛岡市東仙北２－１４－２０,019-635-5000,https://netz-morioka.co.jp/,,,,,,,,小佐野店,釜石市小佐野町一丁目６番２５号,0193-23-1424,●,●,●,●,,
9,ネッツトヨタ盛岡株式会社,岩手県盛岡市東仙北２－１４－２０,019-635-5000,https://netz-morioka.co.jp/,,,,,,,,カーステージ月が丘,岩手県滝沢市穴口３１１番１２,019-648-7722,,●,●,,,
