,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,青森トヨタ自動車株式会社,青森市合浦２丁目１９－２３,017-742-2111,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza城下店,八戸市　城下三丁目　１３－９,0178-79-1268,●,●,●,●,,
1,青森トヨタ自動車株式会社,青森市合浦２丁目１９－２３,017-742-2111,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza桜ヶ丘店,八戸市大字大久保字小久保尻１７－１６,0178-79-1275,●,●,●,●,,
2,青森トヨタ自動車株式会社,青森市合浦２丁目１９－２３,017-742-2111,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza青森本店,青森市　合浦二丁目　１９－２３,017-742-2112,●,●,●,●,●,●
3,青森トヨタ自動車株式会社,青森市合浦２丁目１９－２３,017-742-2111,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza青森西店,青森市　新城字福田　２６５－１２,017-788-5314,●,●,●,●,,
4,青森トヨタ自動車株式会社,青森市合浦２丁目１９－２３,017-742-2111,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plazaむつ店,むつ市　金曲二丁目　２－１８,0175-22-3111,●,●,●,●,,
5,青森トヨタ自動車株式会社,青森市合浦２丁目１９－２３,017-742-2111,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza八戸店,八戸市　尻内町字島田８－４,0178-79-1266,●,●,●,●,,
6,青森トヨタ自動車株式会社,青森市合浦２丁目１９－２３,017-742-2111,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza十和田店,十和田市大字洞内井戸頭１４４－１３１,0176-77-4166,●,●,●,●,,
7,青森トヨタ自動車株式会社,青森市合浦２丁目１９－２３,017-742-2111,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza三沢店,三沢市　松原町二丁目３１番地２５７０,0176-53-2145,●,●,●,●,,
8,青森トヨタ自動車株式会社,青森市合浦２丁目１９－２３,017-742-2111,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza弘前店,弘前市堅田二丁目２－１,0172-34-6210,●,●,●,●,,
9,青森トヨタ自動車株式会社,青森市合浦２丁目１９－２３,017-742-2111,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza五所川原店,五所川原市栄町４３－１０,0173-34-2135,●,●,●,●,,
10,青森トヨタ自動車株式会社,青森市合浦２丁目１９－２３,017-742-2111,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza弘前城東店,弘前市早稲田稲田４丁目４－４,0172-78-1930,●,●,●,●,,
11,青森トヨタ自動車株式会社,青森市合浦２丁目１９－２３,017-742-2111,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza青森中央店,青森市東大野二丁目４－１,017-762-2245,●,●,●,●,,
