,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ青森株式会社,青森県青森市合浦２－１９－３０,017-741-1700,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza青森本店,青森市　合浦二丁目　１９－２３,017-742-2112,●,●,●,●,,
1,ネッツトヨタ青森株式会社,青森県青森市合浦２－１９－３０,017-741-1700,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza青森中央店,青森市東大野二丁目４番地１,017-762-2234,●,●,●,●,,
2,ネッツトヨタ青森株式会社,青森県青森市合浦２－１９－３０,017-741-1700,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza青森西店,青森市新城字福田　　２６５の１１,017-788-3501,●,●,●,●,,
3,ネッツトヨタ青森株式会社,青森県青森市合浦２－１９－３０,017-741-1700,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plazaむつ店,むつ市金曲２－２－　２０,0175-22-2351,●,●,●,●,,
4,ネッツトヨタ青森株式会社,青森県青森市合浦２－１９－３０,017-741-1700,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza八戸店,八戸市　尻内町字島田８－４,0178-79-1269,●,●,●,●,,
5,ネッツトヨタ青森株式会社,青森県青森市合浦２－１９－３０,017-741-1700,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza城下店,八戸市　城下三丁目　１３－９,0178-47-2080,●,●,●,●,,
6,ネッツトヨタ青森株式会社,青森県青森市合浦２－１９－３０,017-741-1700,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza桜ヶ丘店,八戸市大字大久保字小久保尻１７－１６,0178-31-2266,●,●,●,●,,
7,ネッツトヨタ青森株式会社,青森県青森市合浦２－１９－３０,017-741-1700,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza十和田店,十和田市大字洞内字　井戸頭１４４－１３１,0176-27-2100,●,●,●,●,,
8,ネッツトヨタ青森株式会社,青森県青森市合浦２－１９－３０,017-741-1700,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza三沢店,三沢市松原町二丁目３１－２５７０,0176-57-5151,●,●,●,●,,
9,ネッツトヨタ青森株式会社,青森県青森市合浦２－１９－３０,017-741-1700,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza弘前店,弘前市大字堅田２－２－１,0172-34-4280,●,●,●,●,,
10,ネッツトヨタ青森株式会社,青森県青森市合浦２－１９－３０,017-741-1700,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza五所川原店,五所川原市広田字柳沼６０－１６,0173-35-3490,●,●,●,●,,
11,ネッツトヨタ青森株式会社,青森県青森市合浦２－１９－３０,017-741-1700,https://aomori-toyotagroup.jp/,,,,,,,,TwiN Plaza弘前城東店,弘前市大字早稲田４丁目４－４,0172-28-4400,●,●,●,●,,
