,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,青森西店,青森県青森市石江三好１４４－２,017-781-5671,●,,●,●,●,●
1,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,Ｔ－ＵＰ青森西店,青森県青森市石江三好１４４－２,017-781-9001,,●,●,,,
2,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,青森東店,青森県青森市矢田前弥生田２０－８,017-726-5671,●,,●,●,,
3,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,青森南店,青森県青森市第二問屋町１－３－１０,017-739-5671,●,,●,●,,
4,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,八戸本店,青森県八戸市卸センター１－１７－２８,0178-44-5671,●,,●,●,,
5,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,八戸城下店,青森県八戸市城下４－２４－９,0178-47-5671,●,,●,●,,
6,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,八戸東店,青森県八戸市大久保小久保尻１７－１７,0178-34-5671,●,,●,●,,
7,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,Ｔ－ＵＰ八戸るいけ店,青森県八戸市青葉３－３－１７,0178-22-9001,,●,●,,,
8,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,弘前堅田店,青森県弘前市堅田２－２－８,0172-34-5671,●,,●,●,,
9,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,Ｔ－ＵＰ弘前神田店,青森県弘前市神田２－２－５,0172-32-9001,,●,●,,,
10,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,弘前西弘店,青森県弘前市清富町３－５,0172-37-5671,●,,●,●,,
11,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,十和田店,青森県十和田市東三番町３８－２３,0176-22-5671,●,●,●,●,,
12,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,五所川原店,青森県五所川原市広田柳沼６０－４,0173-34-5671,●,●,●,●,,
13,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,Ｔ－ＵＰ五所川原店,青森県五所川原市中央２丁目１４６,0173-34-9001,,●,●,,,
14,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,むつ店,青森県むつ市田名部赤川ノ内並木１１４－４,0175-22-5671,●,●,●,●,,
15,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,黒石店,青森県黒石市富田１３１,0172-53-5671,●,,●,●,,
16,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,野辺地店,青森県上北郡野辺地町八ノ木谷地４０－１３,0175-64-5671,●,●,●,●,,
17,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,三沢店,青森県三沢市鹿中４－１４５－３５５,0176-54-3567,●,,●,●,,
18,青森トヨペット株式会社,青森県青森市篠田３－１４－９,017-782-5671,https://www.aomoritoyopet.jp/,,,,,,,,三戸店,青森県三戸郡南部町沖田面沖中１６１,0179-34-3567,●,●,●,●,,
