,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,本店,札幌市豊平区美園３条６丁目３－１０,011-820-1212,●,●,●,●,,
1,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック恵庭,恵庭市柏陽町３丁目１９４番地１６３,0123-31-1255,●,●,●,●,,
2,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック千歳,千歳市上長都９６３－２,0123-23-5191,●,●,●,●,,
3,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック清田,札幌市清田区真栄１条２丁目１－１２,011-883-4111,●,●,●,●,,
4,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック澄川,札幌市南区澄川４条３丁目３－１８,011-814-4111,●,●,●,●,,
5,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,藤野店,札幌市南区藤野２条７丁目２－３,011-594-2000,●,●,●,●,,
6,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック藻岩,札幌市中央区南３０条西１１丁目３－１０,011-551-1341,●,●,●,●,,
7,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック百合が原,札幌市東区北４８条東１６丁目３－１０,011-787-1148,●,●,●,●,,
8,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,篠路店,札幌市北区篠路４条１丁目１－１,011-773-4111,●,●,●,●,,
9,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック新琴似,札幌市北区新琴似７条４丁目１－４０,011-763-5111,●,●,●,●,,
10,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック西,札幌市西区西町南１０丁目１－３２,011-662-6151,●,●,●,●,,
11,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,手稲店,札幌市手稲区富丘３条５丁目６－１,011-681-1111,●,●,●,●,,
12,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック花川,石狩市花川南８条１丁目５８,0133-73-5111,●,●,●,●,,
13,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,八軒店,札幌市西区八軒５条西１０丁目５－１,011-614-5111,●,●,●,●,,
14,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック白石,札幌市白石区本通１０丁目北１－２０,011-864-1811,●,●,●,●,,
15,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック南郷通,札幌市白石区南郷通２１丁目南３ー３０,011-863-1666,●,●,●,●,●,●
16,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,南九条店,札幌市中央区南８条西７丁目１０３７－３２,011-511-2171,●,,●,●,,
17,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,北二条店,札幌市中央区北２条東２丁目１,011-231-2181,●,●,●,●,,
18,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック東苗穂,札幌市東区本町２条１０丁目３－１５,011-782-5161,●,●,●,●,,
19,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック美香保,札幌市東区北１８条東１５丁目４－１,011-721-8131,●,●,●,●,,
20,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,二十四軒店,札幌市西区二十四軒３条２丁目１－２５,011-614-3111,●,●,●,●,,
21,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,アンビシャス厚別通,札幌市厚別区厚別西５条３丁目,011-801-4190,●,●,●,●,,
22,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,北広島店,北広島市共栄３１－１,011-372-3211,●,●,●,●,,
23,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック岩見沢,岩見沢市５条東１５丁目７－６,0126-22-3003,●,●,●,●,,
24,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,滝川店,滝川市流通団地１丁目１－３４,0125-22-4361,●,●,●,●,,
25,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,由仁店,夕張郡由仁町古川１１７,0123-83-2301,●,●,●,●,,
26,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,美唄店,美唄市字美唄１１２０－１,0126-62-1441,●,●,●,●,,
27,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,芦別店,芦別市北７条西４丁目３－１,0124-22-5050,●,●,●,●,,
28,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック江別,江別市弥生町３４－１３,011-382-4326,●,●,●,●,,
29,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,ジョイック小樽,小樽市奥沢１丁目１４－１０,0134-23-3141,●,●,●,●,,
30,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,倶知安店,虻田郡倶知安町字高砂９９－１,0136-23-2100,●,●,●,●,,
31,トヨタカローラ札幌株式会社,札幌市豊平区美園３条６丁目３番１０号,011-820-1111,https://www.ekuruma.co.jp,,,,,,,,岩内店,岩内郡岩内町字東山６９－３,0135-62-1198,●,●,●,●,,
