,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,竜ヶ崎センター,茨城県龍ケ崎市馴柴町６６２－１,0297-64-5100,,●,●,●,,
1,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,つくば谷田部センター,茨城県つくば市榎戸４４１－１,029-837-1511,,●,●,●,,
2,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,水戸南センター,茨城県水戸市酒門町３２１０－２,029-248-2633,,●,●,●,,
3,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,バン・トラックセンター,茨城県水戸市東前１－６０,029-240-5557,,●,●,,,
4,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,東海センター,茨城県那珂郡東海村舟石川６５２－１５,029-287-2811,,●,●,●,,
5,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,日立店,茨城県日立市大久保町３－２－２５,0294-37-1181,●,●,●,●,,
6,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,大子店,茨城県久慈郡大子町池田１５６４,0295-72-1171,●,●,●,●,,
7,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,高萩店,茨城県高萩市高浜町３－８－３,0293-23-6111,●,●,●,●,,
8,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,大宮店,茨城県常陸大宮市下村田２３７５,0295-53-1131,●,●,●,●,,
9,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,勝田店,茨城県ひたちなか市稲田９５５－２,029-285-5161,●,●,●,●,,
10,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,日立北店,茨城県日立市田尻町４－３６－４,0294-43-5311,●,●,●,●,●,●
11,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,勝田東店,茨城県ひたちなか市中根３３２６－２,029-275-3311,●,●,●,●,,
12,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,北茨城店,茨城県北茨城市関南町神岡下３６０－１,0293-46-2888,●,●,●,●,,
13,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,常陸太田店,茨城県常陸太田市馬場町３５３－１,0294-80-3611,●,●,●,●,,
14,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,笠間店,茨城県笠間市笠間７６７,0296-72-6111,●,●,●,●,,
15,茨城トヨタ自動車株式会社,茨城県水戸市千波町１８８７,029-241-1511,https://www.ibaraki-toyota.jp/,,,,,,,,水戸泉町店,茨城県水戸市泉町２－３－２４,029-231-1181,●,●,●,●,,
