,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,岩瀬店,桜川市東桜川１ー３,0296-75-1621,●,●,●,●,,
1,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,友部店,笠間市旭町３７３－１,0296-77-7951,●,●,●,●,,
2,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,水戸千波店,水戸市　千波町　　２２９４ー２,029-241-1911,●,●,●,●,,
3,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,那珂店,那珂市　菅谷　５４５７－１,029-353-2100,●,●,●,●,,
4,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,RV Garage水戸インター,水戸市　大塚町　　１５３２ー１,029-251-8418,●,●,●,●,,
5,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,勝田昭和通り店,ひたちなか市　中根　８９９,029-276-5111,●,●,●,●,,
6,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,勝田東石川店,ひたちなか市東石川　３１５３ー２,029-274-1556,●,●,●,●,,
7,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,常陸太田店,常陸太田市　馬場町　６５ー３,0294-72-3151,●,●,●,●,,
8,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,日立桜川店,日立市　桜川町　　２ー１ー１,0294-36-1151,●,●,●,●,,
9,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,日立桜川店中古車センター,日立市桜川町２－４－４,0294-34-5001,●,●,●,,,
10,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,日立滑川店,日立市　滑川町　　１ー１４ー３,0294-24-6570,●,●,●,●,,
11,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,北茨城店,高萩市赤浜　９９９,0293-23-1155,●,●,●,●,,
12,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,東海店,那珂郡東海村豊白１－３－３０,029-306-0303,●,●,●,●,,
13,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,大宮店,常陸大宮市下村田　２４５３ー１,02955-3-2131,●,●,●,●,,
14,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,水戸水府店,水戸市　水府町　　１５２２ー１,029-224-5094,●,●,●,●,,
15,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,水戸駅南店,茨城県水戸市城南３－１２－３,029-225-4422,●,●,●,●,,
16,トヨタカローラ新茨城株式会社,水戸市水府町１５２２－１,029-231-3351,http://www.corolla-si.com/,,,,,,,,プラザ勝田店,ひたちなか市高場字南下２３３１,029-285-6961,●,●,●,●,,
