,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,土浦店,土浦市真鍋６ー９ー５,029-822-1911,●,●,●,●,,
1,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,稲敷店,稲敷市江戸崎甲２５５６－１,029-892-1611,●,●,●,●,,
2,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,荒川沖店,土浦市中荒川沖町１４－１０,029-830-4545,●,●,●,●,,
3,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,牛久店,牛久市柏田町３２５９－１０,029-873-9511,●,●,●,●,,
4,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,つくばみらい店,つくばみらい市小絹１２２５－１,0297-52-8181,●,●,●,●,,
5,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,竜ヶ崎店,竜ケ崎市久保台１ー１８ー１,0297-60-2000,●,●,●,●,,
6,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,ゆめみ野店,茨城県取手市ゆめみ野３丁目９－２,0297-71-8101,●,●,●,●,,
7,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,守谷店,守谷市美園２丁目１６番地５,0297-46-2100,●,●,●,●,,
8,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,下妻たかさい店,下妻市高道祖１３５３－８,0296-30-1515,●,●,●,●,,
9,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,下妻宗道店,下妻市田下６６５－１,0296-30-0616,●,●,●,●,,
10,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,つくば店,つくば市西郷１番地,029-850-1400,●,●,●,●,,
11,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,学園の森店,つくば市学園の森２丁目４０－７,029-860-1880,●,●,●,●,,
12,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,みどりの店,茨城県つくば市みどりの２丁目１７番８,029-839-0230,●,●,●,●,,
13,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,古河東店,古河市東本町３丁目５番５号,0280-30-8911,●,●,●,●,,
14,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,古河店,古河市中田１１０５ー１０,0280-48-1811,●,●,●,●,,
15,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,坂東店,坂東市辺田２８４ー１,0297-35-1911,●,●,●,●,,
16,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,結城店,結城市結城６２５７－１,0296-34-0221,●,●,●,●,,
17,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,筑西横塚店,茨城県筑西市蓮沼１５３５－４,0296-21-8150,●,●,●,●,,
18,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,鉾田店,鉾田市柏熊１００１－６１,0291-33-2911,●,●,●,●,,
19,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,潮来店,潮来市潮来７１２５－２,0299-80-1220,●,●,●,●,,
20,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,鹿嶋店,鹿嶋市大船津３８５４,0299-83-1141,●,●,●,●,,
21,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,神栖奥野谷店,神栖市奥野谷５１１番地,0299-90-5577,●,●,●,●,,
22,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,神栖太田店,神栖市太田１８８３－１,0479-48-3888,●,●,●,●,,
23,トヨタカローラ南茨城株式会社,茨城県つくば市西郷２－４,029-850-2111,https://www.cmibaraki.jp,,,,,,,,石岡店,石岡市八軒台３番３８号,0299-23-0100,●,●,●,●,,
