,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタつくば株式会社,茨城県古河市旭町２－１９－３５,0280-33-1001,http://www.netz-tsukuba.co.jp,,,,,,,,土浦店,茨城県土浦市宍塚町１７５４－１,029-824-7621,●,●,●,●,,
1,ネッツトヨタつくば株式会社,茨城県古河市旭町２－１９－３５,0280-33-1001,http://www.netz-tsukuba.co.jp,,,,,,,,荒川沖店,土浦市右籾２８３１－１,029-842-8180,●,●,●,●,,
2,ネッツトヨタつくば株式会社,茨城県古河市旭町２－１９－３５,0280-33-1001,http://www.netz-tsukuba.co.jp,,,,,,,,ひたち野うしく店,茨城県牛久市ひたち野東１－３３－３,029-878-2200,●,,●,●,,
3,ネッツトヨタつくば株式会社,茨城県古河市旭町２－１９－３５,0280-33-1001,http://www.netz-tsukuba.co.jp,,,,,,,,牛久店,茨城県牛久市牛久町４８３－１,0298-74-5711,●,,●,●,,
4,ネッツトヨタつくば株式会社,茨城県古河市旭町２－１９－３５,0280-33-1001,http://www.netz-tsukuba.co.jp,,,,,,,,守谷店,つくばみらい市絹の台７－５－８,0297-20-5900,●,,●,●,,
5,ネッツトヨタつくば株式会社,茨城県古河市旭町２－１９－３５,0280-33-1001,http://www.netz-tsukuba.co.jp,,,,,,,,竜ケ崎店,茨城県龍ケ崎市野原町６８,0297-60-1411,●,,●,●,,
6,ネッツトヨタつくば株式会社,茨城県古河市旭町２－１９－３５,0280-33-1001,http://www.netz-tsukuba.co.jp,,,,,,,,取手店,茨城県取手市戸頭６－３２－９,0297-78-1234,●,,●,●,,
7,ネッツトヨタつくば株式会社,茨城県古河市旭町２－１９－３５,0280-33-1001,http://www.netz-tsukuba.co.jp,,,,,,,,下妻店,茨城県下妻市堀篭字車堂７０４‐１,0296-30-1171,●,●,●,●,,
8,ネッツトヨタつくば株式会社,茨城県古河市旭町２－１９－３５,0280-33-1001,http://www.netz-tsukuba.co.jp,,,,,,,,Ａｄａｔｔｏつくば店,茨城県つくば市研究学園１丁目３番地１６,029-851-7200,●,,●,●,,
9,ネッツトヨタつくば株式会社,茨城県古河市旭町２－１９－３５,0280-33-1001,http://www.netz-tsukuba.co.jp,,,,,,,,みどりの店,つくば市谷田部１１６（陣場Ｇ３街区２）,029-839-0068,●,,●,●,,
10,ネッツトヨタつくば株式会社,茨城県古河市旭町２－１９－３５,0280-33-1001,http://www.netz-tsukuba.co.jp,,,,,,,,古河店,茨城県古河市旭町２－１９－３５,0280-33-1811,●,,●,●,,
11,ネッツトヨタつくば株式会社,茨城県古河市旭町２－１９－３５,0280-33-1001,http://www.netz-tsukuba.co.jp,,,,,,,,筑西店,茨城県筑西市外塚５０１,0296-24-7211,●,,●,●,,
