,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,新町店,宇都宮市新町１丁目２番２号,028-633-5431,●,,●,●,,
1,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,駒生店,宇都宮市鶴田町２０２５番地,028-648-2221,●,,●,●,●,●
2,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,U-Carつるた店,宇都宮市鶴田町１４５２番３号,028-649-1300,,●,●,●,,
3,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,横田店,宇都宮市横田新町３番４７号,028-653-1212,●,,●,●,,
4,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,U-Carインターパーク店,宇都宮市インターパーク４丁目２番地７,028-657-8100,,●,●,●,,
5,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,壬生店,下都賀郡壬生町落合１丁目１５番４号,0282-82-7811,●,,●,●,,
6,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,那須烏山店,那須烏山市大桶９７３番１号,0287-83-1181,●,,●,●,,
7,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,簗瀬店,宇都宮市簗瀬町１２８５番地５号,028-639-5311,●,,●,●,,
8,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,泉が丘店,宇都宮市泉が丘５丁目７番３２号,028-662-7411,●,,●,●,,
9,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,岩曽店,宇都宮市岩曽町１２４５番地６,028-662-8811,●,,●,●,,
10,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,日光店,日光市森友７１３番地,0288-22-1031,●,,●,●,,
11,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,真岡店,真岡市上高間木２丁目７番地２,0285-83-2311,●,,●,●,,
12,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,鹿沼店,鹿沼市茂呂７６９－１,0289-76-6530,●,,●,●,,
13,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,喜沢店,小山市喜沢６６０番１３０号,0285-25-7788,●,,●,●,,
14,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,U-Car小山店,小山市喜沢６６０番１２７号,0285-25-7833,,●,●,,,
15,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,黒磯店,那須塩原市共墾社９６番９号,0287-62-1606,●,,●,●,●,●
16,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,足利店,足利市山川町８３１番１号,0284-41-7331,●,,●,●,,
17,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,朝倉店,栃木県足利市朝倉町２５６番地１,0284-71-2525,●,,●,●,,
18,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,U-Car朝倉店,栃木県足利市朝倉町２５６番地１,0284-71-6100,,●,●,●,,
19,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,佐野店,栃木県佐野市高萩町４４８－５,0283-23-1671,●,,●,●,,
20,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,U-Car佐野店,佐野市高萩町４４８－５,0283-27-2213,,●,●,,,
21,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,栃木店,栃木市野中町１３５１－８,0282-23-5200,●,,●,●,,
22,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,粟宮店,小山市粟宮１丁目１４番２３号,0285-25-2515,●,,●,●,●,●
23,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,矢板店,矢板市中３７０番１号,0287-43-5511,●,,●,●,,
24,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,西那須野店,那須塩原市三区町６２８番地１１,0287-36-5111,●,,●,●,,
25,栃木トヨタ自動車株式会社,宇都宮市横田新町３－４７,028-653-1210,https://www.tochigitoyota.com/,,,,,,,,U-Car西那須野店,那須塩原市三区町６２８番地１１,0287-36-4666,,●,●,,,
