,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,宇都宮不動前店,栃木県　宇都宮市　不動前　５－１－２６,028-633-2234,●,,●,●,,
1,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,宇都宮平出店,栃木県　宇都宮市　陽東　８－１－３,028-662-5151,●,,●,●,,
2,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,宇都宮岩曽店,栃木県　宇都宮市　岩曽町　１３５５,028-662-5555,●,,●,●,,
3,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,宇都宮宝木店,栃木県　宇都宮市　宝木町　１－３４００－２,028-627-1234,●,,●,●,,
4,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,宇都宮岡本店,栃木県　宇都宮市　下岡本町　４４４７－１,028-673-8111,●,,●,●,,
5,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,石橋店,栃木県　下野市　下古山　２８８８－８,0285-53-3551,●,,●,●,,
6,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,真岡店,栃木県　真岡市　西郷　１９９－１,0285-82-4261,●,,●,●,●,●
7,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,鹿沼店,栃木県　鹿沼市　東町　３－４－１７,0289-62-8125,●,,●,●,,
8,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,高根沢店,栃木県　塩谷郡　高根沢町　石末　２２４１－１,028-675-2401,●,,●,●,,
9,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,今市店,栃木県　日光市　森友　５８０－２,0288-22-2125,●,,●,●,,
10,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,小山駅南通り店,栃木県　小山市　駅南町　４－２８－２１,0285-27-8008,●,,●,●,,
11,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,小山粟宮店,栃木県　小山市　粟宮　８１０－２,0285-23-2433,●,,●,●,,
12,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,栃木店,栃木県　栃木市　野中町　４５８－１,0282-23-7121,●,,●,●,,
13,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,佐野店,栃木県　佐野市　大橋町　１６３６,0283-22-6220,●,●,●,●,,
14,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,足利トンネル通り店,栃木県　足利市　弥生町　２６,0284-42-7636,●,,●,●,,
15,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,西那須野店,栃木県　那須塩原市　三区町　６３３,0287-36-0727,●,●,●,●,,
16,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,大田原店,栃木県　大田原市　中田原　６４５,0287-23-3666,●,,●,●,,
17,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,黒磯店,栃木県　那須塩原市　豊浦　１０－１１,0287-63-7911,●,,●,●,,
18,栃木トヨペット株式会社,栃木県　宇都宮市　不動前　５－１－２６,028-633-2221,https://tochigi.toyopet-dealer.jp/,,,,,,,,Ｕ－Ｃａｒセンター上横田店,栃木県　宇都宮市　上横田町　７６７－２,028-645-1555,,●,●,●,,
