,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,宇都宮上横田店,栃木県宇都宮市上横田町７９８,028-658-2224,●,,●,●,,
1,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,宇都宮陽東店,栃木県宇都宮市陽東５－８－１４,028-662-6815,●,,●,●,,
2,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,宇都宮錦店,栃木県宇都宮市錦３－１２－５,028-621-0931,●,,●,●,,
3,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,宇都宮岩曽店,栃木県宇都宮市岩曽町１２５７－１２,028-613-4100,●,,●,●,●,●
4,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,宇都宮細谷店,栃木県宇都宮市宝木町二丁目２５７３－１,028-627-3571,●,●,●,●,,
5,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,真岡店,栃木県真岡市西高間木３０７－１,0285-83-3131,●,,●,●,,
6,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,おもちゃのまち店,栃木県下都賀郡壬生町至宝３－７－３１,0282-82-9441,●,,●,●,,
7,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,足利大久保店,栃木県足利市大久保町１１０１,0284-91-0521,●,,●,●,,
8,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,足利朝倉店,栃木県足利市朝倉町２５６－４,0284-22-7270,●,●,●,●,,
9,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,佐野店,栃木県佐野市奈良渕町３１６－１,0283-24-1511,●,,●,●,●,●
10,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,小山神鳥谷店,栃木県小山市神鳥谷３０９,0285-25-4141,●,,●,●,,
11,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,小山犬塚店,栃木県小山市犬塚３２－１４,0285-23-8877,●,,●,●,,
12,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,栃木店,栃木県栃木市野中町４５３－１,0282-24-5252,●,,●,●,,
13,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,鹿沼店,栃木県鹿沼市緑町３－９－２１,0289-64-7171,●,,●,●,,
14,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,日光今市店,栃木県日光市森友７４７－１,0288-21-2121,●,●,●,●,,
15,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,矢板店,栃木県矢板市東町３３３－６,0287-44-2111,●,,●,●,,
16,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,西那須野店,栃木県那須塩原市西三島３－１８３,0287-36-1076,●,,●,●,,
17,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,黒磯店,栃木県那須塩原市下厚崎２６４－６６,0287-62-2112,●,,●,●,,
18,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,烏山店,栃木県那須烏山市大桶１８９９－１,0287-84-1811,●,,●,●,,
19,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,中古車 つるた,栃木県宇都宮市鶴田町１５１,028-647-2225,,●,●,,,
20,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,中古車 かわだ,栃木県宇都宮市川田町７６０,028-636-1515,,●,●,●,,
21,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,中古車 あしかが,栃木県足利市大久保町１１０２－１,0284-91-3711,,●,●,,,
22,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,中古車 おやま,栃木県小山市犬塚３２－１４,0285-21-3636,,●,●,,,
23,トヨタカローラ栃木株式会社,宇都宮市上横田町７９８,028-658-2221,https://www.corolla-tochigi.co.jp/,,,,,,,,中古車 にしなすの,栃木県那須塩原市南郷屋３－１４１－１,0287-36-5631,,●,●,●,,
