,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ群馬株式会社,前橋市江田町３０５,027-210-5050,https://www.corolla-gunma.co.jp/,,,,,,,,渋川子持店,渋川市中郷１５５９－２,0279-23-3311,●,●,●,●,,
1,トヨタカローラ群馬株式会社,前橋市江田町３０５,027-210-5050,https://www.corolla-gunma.co.jp/,,,,,,,,沼田店,沼田市薄根町４４５９－１,0278-24-4411,●,●,●,●,,
2,トヨタカローラ群馬株式会社,前橋市江田町３０５,027-210-5050,https://www.corolla-gunma.co.jp/,,,,,,,,中之条店,吾妻郡中之条町青山１８３,0279-75-5131,●,●,●,●,,
3,トヨタカローラ群馬株式会社,前橋市江田町３０５,027-210-5050,https://www.corolla-gunma.co.jp/,,,,,,,,前橋江田店,前橋市江田町３０５,027-210-5252,●,●,●,●,,
4,トヨタカローラ群馬株式会社,前橋市江田町３０５,027-210-5050,https://www.corolla-gunma.co.jp/,,,,,,,,吉岡店,北群馬郡吉岡町大久保２８７４,0279-70-8585,●,●,●,●,,
5,トヨタカローラ群馬株式会社,前橋市江田町３０５,027-210-5050,https://www.corolla-gunma.co.jp/,,,,,,,,前橋西片貝店,前橋市西片貝町４丁目１７－７,027-224-6345,●,●,●,●,,
6,トヨタカローラ群馬株式会社,前橋市江田町３０５,027-210-5050,https://www.corolla-gunma.co.jp/,,,,,,,,前橋上小出店,前橋市上小出町２丁目５－１０,027-234-8111,●,●,●,●,●,●
7,トヨタカローラ群馬株式会社,前橋市江田町３０５,027-210-5050,https://www.corolla-gunma.co.jp/,,,,,,,,スマーク伊勢崎店,群馬県伊勢崎市西小保方町３６０番１,0270-20-8900,●,●,●,●,,
8,トヨタカローラ群馬株式会社,前橋市江田町３０５,027-210-5050,https://www.corolla-gunma.co.jp/,,,,,,,,桐生堤店,桐生市堤町３丁目２－２７,0277-22-4141,●,●,●,●,,
9,トヨタカローラ群馬株式会社,前橋市江田町３０５,027-210-5050,https://www.corolla-gunma.co.jp/,,,,,,,,太田西本町店,太田市西本町４０番３０号,0276-32-2522,●,●,●,●,,
10,トヨタカローラ群馬株式会社,前橋市江田町３０５,027-210-5050,https://www.corolla-gunma.co.jp/,,,,,,,,太田西新町店,太田市西新町９４－２,0276-31-6111,●,,●,●,,
11,トヨタカローラ群馬株式会社,前橋市江田町３０５,027-210-5050,https://www.corolla-gunma.co.jp/,,,,,,,,大泉店,邑楽郡大泉町西小泉４丁目２３－２５,0276-20-0088,●,,●,●,,
12,トヨタカローラ群馬株式会社,前橋市江田町３０５,027-210-5050,https://www.corolla-gunma.co.jp/,,,,,,,,館林店,館林市富士見町１８番５０号,0276-73-1551,●,●,●,●,,
