,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ高崎株式会社,高崎市昭和町４１番地,0120-014-515,https://www.corolla-takasaki.jp/,,,,,,,,問屋町店,群馬県高崎市問屋町西１丁目２－９,027-363-2412,●,,●,●,●,
1,トヨタカローラ高崎株式会社,高崎市昭和町４１番地,0120-014-515,https://www.corolla-takasaki.jp/,,,,,,,,高崎インター京目店,群馬県高崎市京目町１３４,027-352-6811,●,,●,●,,
2,トヨタカローラ高崎株式会社,高崎市昭和町４１番地,0120-014-515,https://www.corolla-takasaki.jp/,,,,,,,,クルマックス高崎,群馬県高崎市上小塙町２５－１,027-344-2311,,●,●,,,
3,トヨタカローラ高崎株式会社,高崎市昭和町４１番地,0120-014-515,https://www.corolla-takasaki.jp/,,,,,,,,高崎駅西口店,群馬県高崎市新田町３－３,027-325-2866,●,,●,●,,
4,トヨタカローラ高崎株式会社,高崎市昭和町４１番地,0120-014-515,https://www.corolla-takasaki.jp/,,,,,,,,富岡七日市店,群馬県富岡市七日市３７０－１,0274-62-0181,●,●,●,●,,
5,トヨタカローラ高崎株式会社,高崎市昭和町４１番地,0120-014-515,https://www.corolla-takasaki.jp/,,,,,,,,群馬町すがや店,群馬県高崎市菅谷町２１０,027-373-6811,●,●,●,●,,
6,トヨタカローラ高崎株式会社,高崎市昭和町４１番地,0120-014-515,https://www.corolla-takasaki.jp/,,,,,,,,伊勢崎つなとり店,群馬県伊勢崎市連取町３０７７－２６,0270-25-7655,●,,●,●,,
7,トヨタカローラ高崎株式会社,高崎市昭和町４１番地,0120-014-515,https://www.corolla-takasaki.jp/,,,,,,,,伊勢崎とようけ店,群馬県伊勢崎市山王町１５６３－１,0270-32-3993,●,,●,●,,
8,トヨタカローラ高崎株式会社,高崎市昭和町４１番地,0120-014-515,https://www.corolla-takasaki.jp/,,,,,,,,新町バイパス店,群馬県藤岡市立石１２２０,0274-42-0964,●,,●,●,,
9,トヨタカローラ高崎株式会社,高崎市昭和町４１番地,0120-014-515,https://www.corolla-takasaki.jp/,,,,,,,,藤岡２５４バイパス店,群馬県藤岡市藤岡２１１８－１,0274-23-6811,●,,●,●,,
10,トヨタカローラ高崎株式会社,高崎市昭和町４１番地,0120-014-515,https://www.corolla-takasaki.jp/,,,,,,,,国道１８号やわた店,群馬県安中市板鼻１３－１,027-381-1300,●,,●,●,,
11,トヨタカローラ高崎株式会社,高崎市昭和町４１番地,0120-014-515,https://www.corolla-takasaki.jp/,,,,,,,,安中バイパス店,群馬県安中市安中２３６３,027-382-1335,●,,●,●,,
