,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,戸田店,戸田市笹目１－３６－６,048-449-5200,●,,●,●,,
1,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,浦和店,さいたま市南区辻７－５－２７,048-862-2731,●,,●,●,,
2,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,浦和三室店,さいたま市緑区三室１９３,048-873-5911,●,,●,●,,
3,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,北与野店,さいたま市中央区上落合１－１２－８,048-858-2885,●,,●,●,,
4,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,指扇店,さいたま市西区佐知川１３５３－１,048-624-0611,●,,●,●,,
5,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,土呂店,さいたま市北区土呂町１－６１－１３,048-664-2111,●,●,●,●,,
6,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,東大宮店,上尾市原市２－１３,048-722-1811,●,,●,●,,
7,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,上尾向山店,上尾市向山１－５６－１,048-725-8881,●,,●,●,,
8,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,桶川店,桶川市北１－２４－１９,048-773-5831,●,,●,●,,
9,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,北鴻巣店,鴻巣市三ッ木３３７,048-596-0111,●,,●,●,,
10,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,東松山店,東松山市下野本１２８３－８,0493-23-1323,●,,●,●,,
11,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,志木店,志木市中宗岡１－１５－４,048-474-6060,●,,●,●,,
12,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,新座店,新座市野火止１－１２－３１,048-478-1040,●,,●,●,,
13,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,東所沢店,所沢市牛沼４６７－３,04-2995-4141,●,,●,●,,
14,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,ふじみ野店,ふじみ野市ふじみ野１－８－３０,049-278-5911,●,,●,●,,
15,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,川越店,川越市砂新田１１４,049-243-1965,●,●,●,●,,
16,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,西川越店,川越市小ヶ谷４４７－８,049-244-0990,●,,●,●,,
17,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,所沢店,所沢市青葉台１３１９－１,04-2922-4101,●,,●,●,,
18,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,狭山台店,狭山市中央２－５２－１,04-2959-4100,●,,●,●,,
19,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,入間店,入間市豊岡５－１－１１,04-2962-7294,●,,●,●,,
20,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,飯能店,入間市野田８７３－１,04-2932-8211,●,,●,●,,
21,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,日高店,日高市大谷沢２８０－５,042-985-2828,●,,●,●,,
22,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,鶴ケ島店,鶴ヶ島市三ッ木泉橋４２－１,049-271-2800,●,●,●,●,,
23,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,坂戸店,坂戸市千代田５－４－２５,049-284-1010,●,,●,●,,
24,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,熊谷中央店,熊谷市中央３－４０,048-526-2611,●,,●,●,,
25,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,深谷店,深谷市萱場１３０,048-570-5333,●,●,●,●,,
26,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,本庄店,本庄市９２７,0495-21-7711,●,,●,●,,
27,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,嵐山店,比企郡嵐山町平沢２４６２,0493-61-1201,●,,●,●,,
28,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,寄居店,大里郡寄居町桜沢８９－１,048-581-6565,●,●,●,●,,
29,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,秩父店,秩父市大野原９５５,0494-22-5456,●,,●,●,,
30,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,日進マイカーセンター,さいたま市北区日進町３－４０６－２,048-662-7480,,●,●,●,,
31,トヨタカローラ新埼玉株式会社,さいたま市中央区円阿弥３－３－２０,048-853-1551,https://www.c-shinsaitama.co.jp/,,,,,,,,東所沢マイカーセンター,所沢市大字牛沼４７０－３,04-2991-2551,,●,●,,,
