,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツさいたま北,埼玉県さいたま市北区東大成町２－２６９－１,048-652-1311,●,●,●,●,,
1,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ青木橋,川口市青木１－２２－２２,048-257-1611,●,●,●,●,,
2,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ東川口,川口市戸塚４－９－８,048-291-1211,●,●,●,●,,
3,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ川口,川口市芝１－３８－１,048-268-1415,●,●,●,●,,
4,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,Ｕネッツ川口,川口市芝１－４８－１,048-268-1413,,●,●,,,
5,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ戸田,蕨市錦町１－９－４,048-446-1600,●,●,●,●,,
6,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツさいたま南,さいたま市南区沼影２－５－２１,048-710-9991,●,●,●,●,,
7,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツさいたま中尾,さいたま市緑区中尾１１４０－１,048-875-3300,●,●,●,●,,
8,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ浦和美園,埼玉県さいたま市緑区美園５－４６－１,048-812-1155,●,●,●,●,,
9,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ見沼,埼玉県さいたま市見沼区中川１１０－１,048-683-8511,●,●,●,●,,
10,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツさいたま中央,埼玉県さいたま市中央区新中里５－９－８,048-825-1911,●,●,●,●,,
11,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ東岩槻,さいたま市岩槻区南平野２－１－１,048-790-2222,●,●,●,●,,
12,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ岩槻,さいたま市岩槻区加倉２－８－６,048-757-2711,●,●,●,●,,
13,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ草加,草加市神明２－３－１０,048-933-0511,●,●,●,●,,
14,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ杉戸高野台,埼玉県幸手市上高野２０８０－１,0480-40-3510,●,●,●,●,,
15,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ鷲宮,久喜市八甫１４４４－１,0480-58-2251,●,●,●,●,,
16,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ三郷,三郷市中央３－４６－８,048-949-4911,●,●,●,●,,
17,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ東越谷,越谷市東越谷３－６－１２,048-966-1211,●,●,●,●,,
18,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,イオンレイクタウン店,埼玉県越谷市レイクタウン３丁目１番地１,048-990-1122,●,,●,●,,
19,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ越谷,越谷市大間野町３－６－１,048-988-0711,●,●,●,●,,
20,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ春日部,春日部市備後東５－１４－１,048-736-3711,●,●,●,●,,
21,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,Ｕネッツ春日部,春日部市備後東５－１２－３６,048-736-2611,,●,●,,,
22,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ久喜,久喜市野久喜５０１－２,0480-23-7811,●,●,●,●,,
23,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,Ｕネッツ久喜,久喜市吉羽２－１５－３０,0480-23-7171,,●,●,,,
24,ネッツトヨタ東埼玉株式会社,埼玉県川口市芝１－３８－１,048-268-1414,http://mynetz.jp/,,,,,,,,マイネッツ加須,加須市愛宕１－６－４７,0480-62-0880,●,●,●,●,,
