,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,川崎元木店,川崎市川崎区池田２－５－５　仮営業場所,044-344-6411,●,●,●,●,,
1,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,川崎京町店,川崎市川崎区池田２－５－５,044-344-6411,●,●,●,●,,
2,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,新加瀬店,川崎市幸区南加瀬２－３１－１９,044-588-0241,●,●,●,●,,
3,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,鹿島田店,川崎市中原区上平間１１６９－１５,044-511-1411,●,●,●,●,,
4,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,中原店,川崎市高津区子母口５１６,044-777-1211,●,●,●,●,,
5,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,子母口店,川崎市高津区子母口４８２－１,044-755-1611,●,●,●,●,,
6,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,さぎ沼店,川崎市宮前区有馬３丁目３－６,044-853-0611,●,●,●,●,,
7,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,宮前平店,川崎市宮前区土橋１－１５－２,044-854-1511,●,●,●,●,,
8,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,東名宮前平店,川崎市宮前区土橋１丁目１５‐１,044-870-0030,●,●,●,●,,
9,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,登戸長尾店,川崎市多摩区長尾１－１１－１,044-900-1211,●,●,●,●,,
10,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,登戸宿河原店,川崎市多摩区宿河原６－１８－５,044-900-2311,●,●,●,●,,
11,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,麻生店,川崎市麻生区上麻生７－２３－２２,044-988-3811,●,●,●,●,,
12,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,新百合ヶ丘店,川崎市麻生区片平１丁目７－１,044-954-1611,●,●,●,●,,
13,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,鶴見店,横浜市鶴見区向井町１－３７,045-505-2011,●,●,●,●,,
14,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,トレッサ横浜店,横浜市港北区師岡町７００,045-541-8851,●,●,●,●,,
15,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,港北店,横浜市港北区樽町３－７－３０,045-541-0181,●,●,●,●,,
16,トヨタモビリティ神奈川,横浜市神奈川区栄町７－１,0120-212-119,https://www.toyota-mobility-kanagawa.jp/,,,,,,,,池辺店,横浜市都筑区池辺町４９０１－１,045-934-8111,●,●,●,●,,
