,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ富山株式会社,富山市綾田町３－１２－２６,076-432-3105,http://toyama.corolla-dealer.jp/,,,,,,,,魚津店,富山県魚津市江口９３７,0765-24-2024,●,,●,●,,
1,トヨタカローラ富山株式会社,富山市綾田町３－１２－２６,076-432-3105,http://toyama.corolla-dealer.jp/,,,,,,,,本店,富山県富山市綾田町３丁目１２－２６,076-432-3105,●,,●,●,,
2,トヨタカローラ富山株式会社,富山市綾田町３－１２－２６,076-432-3105,http://toyama.corolla-dealer.jp/,,,,,,,,中島店,富山県富山市中島２丁目２３－８,076-441-5525,●,,●,●,,
3,トヨタカローラ富山株式会社,富山市綾田町３－１２－２６,076-432-3105,http://toyama.corolla-dealer.jp/,,,,,,,,パーク４１,富山県富山市小中２３０－１,076-428-1144,●,,●,●,,
4,トヨタカローラ富山株式会社,富山市綾田町３－１２－２６,076-432-3105,http://toyama.corolla-dealer.jp/,,,,,,,,Ｗｅｓｔ富山,富山県富山市野町１５５－１,076-434-6722,●,,●,●,,
5,トヨタカローラ富山株式会社,富山市綾田町３－１２－２６,076-432-3105,http://toyama.corolla-dealer.jp/,,,,,,,,高岡店,富山県高岡市野村６０８,0766-23-1722,●,,●,●,,
6,トヨタカローラ富山株式会社,富山市綾田町３－１２－２６,076-432-3105,http://toyama.corolla-dealer.jp/,,,,,,,,高岡インター店,富山県高岡市上北島２２,0766-22-8235,●,,●,●,,
7,トヨタカローラ富山株式会社,富山市綾田町３－１２－２６,076-432-3105,http://toyama.corolla-dealer.jp/,,,,,,,,砺波店,富山県砺波市石丸１６４,0763-33-5522,●,,●,●,,
8,トヨタカローラ富山株式会社,富山市綾田町３－１２－２６,076-432-3105,http://toyama.corolla-dealer.jp/,,,,,,,,カーロッツ富山,富山県富山市小中２３０－１,076-428-2888,,●,●,●,,
9,トヨタカローラ富山株式会社,富山市綾田町３－１２－２６,076-432-3105,http://toyama.corolla-dealer.jp/,,,,,,,,カーロッツティアラ,富山県富山市田中町３－１－６０,076-433-0860,●,●,●,●,,
10,トヨタカローラ富山株式会社,富山市綾田町３－１２－２６,076-432-3105,http://toyama.corolla-dealer.jp/,,,,,,,,カーロッツたかおか,富山県高岡市上北島２２,0766-22-8235,,●,●,●,,
