,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,金沢本店,金沢市浅野本町ロ１０４,076-252-5161,●,●,●,●,,
1,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,金沢元町店,金沢市元町２丁目１１番１号,076-251-4733,●,,●,●,,
2,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,海環金沢駅西店,金沢市大友３丁目５番,076-237-2300,●,,●,●,,
3,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,海環金沢大河端店,金沢市大河端西１丁目３５番地,076-239-2522,●,,●,●,,
4,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,金沢松村店,金沢市松村４丁目６２０番地,076-268-0666,●,,●,●,,
5,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,津幡店,河北郡津幡町太田へ４２－１,076-289-2777,●,●,●,●,,
6,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,金沢南中央店,金沢市増泉４丁目５番１０号,076-245-4000,●,,●,●,●,
7,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,金沢伏見台店,金沢市寺地１丁目３１番２０号,076-247-0500,●,,●,●,,
8,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,金沢泉丘店,金沢市泉野町５丁目６番２号,076-243-3631,●,,●,●,,
9,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,野々市本店,野々市市堀内４丁目８７番地,076-248-1414,●,,●,●,,
10,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,白山店,白山市倉光１丁目２０１番地,076-274-2200,●,,●,●,,
11,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,白山三浦店,白山市三浦町４７７番１,076-274-6300,●,●,●,●,,
12,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,小松店,小松市上小松町丙７７番地,0761-22-3737,●,,●,●,,
13,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,小松白嶺店,小松市白嶺町２丁目１,0761-22-3611,●,●,●,●,,
14,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,しいのき加賀店,加賀市箱宮町カ４番地２,0761-74-2533,●,●,●,●,,
15,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,加賀大聖寺店,加賀市中代町ヌ４－１,0761-76-1507,●,,●,●,,
16,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,羽咋店,羽咋市兵庫町午部７－６,0767-22-2241,●,●,●,●,,
17,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,七尾店,七尾市小島町ヌ４５番地,0767-52-3370,●,,●,●,,
18,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,七尾千野バリュー店,七尾市千野町ろ２０,0767-57-1611,●,,●,●,,
19,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,輪島店,輪島市杉平町大百苅５０番１,0768-22-6200,●,●,●,●,,
20,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,モビリティパーク金沢,金沢市元町２丁目１９番２３号,076-213-5200,●,●,●,●,,
21,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,金沢本店中古車,金沢市浅野本町ロ１０４,076-251-6600,,●,●,,,
22,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,金沢南中央店中古車,金沢市増泉４－５－１０,076-245-4050,,●,●,,,
23,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,野々市本店中古車,野々市市堀内４丁目８７番地,076-248-1416,,●,●,,,
24,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,小松店中古車,小松市上小松町丙７７,0761-22-3737,,●,●,,,
25,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,海環金沢駅西店中古車,金沢市大友３丁目５番,076-237-2300,,●,●,●,,
26,石川トヨペットカローラ,金沢市浅野本町ロ１０４,076-253-0100,https://www.ishikawatoyopetcorolla.jp/,,,,,,,,七尾千野バリュー店,七尾市千野町ろ２０,0767-57-1611,,●,●,●,,
