,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-38-2211,https://www.netzfukui.co.jp/,,,,,,,,本店,福井市今市町５８－１２,0776-38-2217,●,●,●,●,●,●
1,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-38-2211,https://www.netzfukui.co.jp/,,,,,,,,福井店,福井市下荒井町２０－３０,0776-38-6000,●,●,●,●,,
2,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-38-2211,https://www.netzfukui.co.jp/,,,,,,,,中央店,福井市開発町７－１２－１,0776-54-0369,●,●,●,●,,
3,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-38-2211,https://www.netzfukui.co.jp/,,,,,,,,丸岡店,坂井市丸岡町一本田３－１,0776-66-1320,●,●,●,●,,
4,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-38-2211,https://www.netzfukui.co.jp/,,,,,,,,春江店,坂井市春江町藤鷲塚３７－１９,0776-58-0310,●,●,●,●,,
5,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-38-2211,https://www.netzfukui.co.jp/,,,,,,,,大野店,大野市中挟１－１,0779-66-0330,●,●,●,●,,
6,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-38-2211,https://www.netzfukui.co.jp/,,,,,,,,武生店,越前市横市町４－１－１,0778-23-3333,●,●,●,●,,
7,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-38-2211,https://www.netzfukui.co.jp/,,,,,,,,鯖江店,鯖江市下河端町５０４,0778-53-0440,●,●,●,●,,
8,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-38-2211,https://www.netzfukui.co.jp/,,,,,,,,敦賀店,敦賀市古田刈１７－９－１,0770-22-3350,●,●,●,●,●,●
9,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-38-2211,https://www.netzfukui.co.jp/,,,,,,,,小浜店,小浜市遠敷５丁目５１４,0770-56-2783,●,●,●,●,,
10,ネッツトヨタ福井株式会社,福井県福井市今市町５８-１２,0776-38-2211,https://www.netzfukui.co.jp/,,,,,,,,音楽堂いちばん店,福井市今市町２４－１３,0776-38-5600,●,●,●,●,,
