,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0263-26-3010,https://www.ntp-toyota-shinshu.com/,,,,,,,,オレンジタウン筑摩,松本市筑摩１丁目３０番７号,0263-26-3010,,●,●,,,
1,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0263-25-0005,https://www.ntp-toyota-shinshu.com/,,,,,,,,筑摩店,松本市筑摩３丁目１９番４号,0263-25-0005,●,,●,●,,
2,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0266-72-7171,https://www.ntp-toyota-shinshu.com/,,,,,,,,茅野店,茅野市本町東５番１５号,0266-72-7171,●,,●,●,,
3,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0266-57-0101,https://www.ntp-toyota-shinshu.com/,,,,,,,,諏訪店,諏訪市大字中洲字砂田２９１８－１,0266-57-0101,●,,●,●,,
4,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0266-27-3505,https://www.ntp-toyota-shinshu.com/,,,,,,,,下諏訪店,長野県諏訪郡下諏訪町字湖浜６１３３ー３９,0266-27-3505,●,,●,●,,
5,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0265-22-1431,https://www.ntp-toyota-shinshu.com/,,,,,,,,飯田上郷店,飯田市上郷飯沼１８５１,0265-22-1431,●,,●,●,,
6,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0265-25-8200,https://www.ntp-toyota-shinshu.com/,,,,,,,,飯田インター店,飯田市育良町２丁目２番地１,0265-25-8200,●,,●,●,,
7,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0265-48-8222,https://www.ntp-toyota-shinshu.com/,,,,,,,,飯田店,飯田市鼎名古熊２５８８－１,0265-48-8222,●,,●,●,,
8,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0264-23-2255,https://www.ntp-toyota-shinshu.com/,,,,,,,,木曽店,長野県木曽郡木曽町福島２８７３,0264-23-2255,●,,●,●,,
9,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0263-25-5300,https://www.ntp-toyota-shinshu.com/,,,,,,,,松本店,松本市宮田５番５号,0263-25-5300,●,,●,●,●,●
10,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0263-54-3700,https://www.ntp-toyota-shinshu.com/,,,,,,,,塩尻店,塩尻市大字広丘野村９５７,0263-54-3700,●,,●,●,●,●
11,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0265-85-2929,https://www.ntp-toyota-shinshu.com/,,,,,,,,駒ケ根店,長野県上伊那郡宮田村５１９７－１,0265-85-2929,●,,●,●,,
12,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0265-72-4121,https://www.ntp-toyota-shinshu.com/,,,,,,,,伊那店,長野県上伊那郡南箕輪村字神子柴７４０４,0265-72-4121,●,,●,●,,
13,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0265-78-3067,https://www.ntp-toyota-shinshu.com/,,,,,,,,オレンジタウン伊那,上伊那郡南箕輪村７３０６－１,0265-78-3067,,●,●,,,
14,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0265-76-0101,https://www.ntp-toyota-shinshu.com/,,,,,,,,箕輪店,上伊那郡南箕輪村字久保４５－１,0265-76-0101,●,,●,●,,
15,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0263-82-3528,https://www.ntp-toyota-shinshu.com/,,,,,,,,安曇野店,長野県安曇野市穂高１４５１ー９,0263-82-3528,●,,●,●,,
16,NTPトヨタ信州,長野県松本市鎌田１－９－１３,0263-25-9021,https://www.ntp-toyota-shinshu.com/,,,,,,,,鎌田店,松本市鎌田１丁目９番１３号,0263-25-9021,●,,●,●,,
