,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,058-273-8831,https://www.toyota-cn-gifu.co.jp/,,,,,,,,茜部店,岐阜市六条江東３丁目１番１２号,058-273-8831,●,,●,●,,
1,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,058-241-6212,https://www.toyota-cn-gifu.co.jp/,,,,,,,,芥見店,岐阜県岐阜市北山１丁目１６－１８,058-241-6212,●,,●,●,,
2,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,058-370-6155,https://www.toyota-cn-gifu.co.jp/,,,,,,,,カローラ鵜沼店,岐阜県各務原市鵜沼西町１丁目６３８,058-370-6155,●,,●,●,,
3,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,058-370-5500,https://www.toyota-cn-gifu.co.jp/,,,,,,,,ネッツ鵜沼店,各務原市鵜沼西町１丁目４１０－２,058-370-5500,●,,●,●,,
4,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,0573-25-4175,https://www.toyota-cn-gifu.co.jp/,,,,,,,,カローラ恵那店,岐阜県恵那市大井町雀子ヶ根２０８７－８９,0573-25-4175,●,●,●,●,,
5,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,0573-26-5281,https://www.toyota-cn-gifu.co.jp/,,,,,,,,ネッツ恵那店,恵那市長島町正家字赤田３６４－２,0573-26-5281,●,,●,●,,
6,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,0584-81-7151,https://www.toyota-cn-gifu.co.jp/,,,,,,,,カローラ大垣店,岐阜県大垣市旭町２－１１,0584-81-7151,●,,●,●,,
7,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,0584-81-7141,https://www.toyota-cn-gifu.co.jp/,,,,,,,,ネッツ大垣店,大垣市田口町１,0584-81-7141,●,,●,●,,
8,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,0584-74-8151,https://www.toyota-cn-gifu.co.jp/,,,,,,,,カローラ大垣北店,岐阜県大垣市中川町１丁目１０６番地,0584-74-8151,●,,●,●,,
9,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,0584-75-3021,https://www.toyota-cn-gifu.co.jp/,,,,,,,,ネッツ大垣北店,大垣市中川町１丁目２８,0584-75-3021,●,,●,●,,
10,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,0584-89-8188,https://www.toyota-cn-gifu.co.jp/,,,,,,,,大垣南店,岐阜県大垣市横曽根３丁目７３－１,0584-89-8188,●,,●,●,,
11,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,0584-53-3171,https://www.toyota-cn-gifu.co.jp/,,,,,,,,海津店,岐阜県海津市海津町高須町１２１２－１,0584-53-3171,●,,●,●,,
12,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,058-251-5509,https://www.toyota-cn-gifu.co.jp/,,,,,,,,鏡島店,岐阜市西荘４丁目２番２２号,058-251-5509,●,,●,●,,
13,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,058-382-5231,https://www.toyota-cn-gifu.co.jp/,,,,,,,,各務原店,岐阜県各務原市那加桐野外８－１３８,058-382-5231,●,,●,●,,
14,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,058-245-8111,https://www.toyota-cn-gifu.co.jp/,,,,,,,,金園店,岐阜県岐阜市金園町８丁目２１０番地,058-245-8111,●,,●,●,,
15,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,0574-62-9322,https://www.toyota-cn-gifu.co.jp/,,,,,,,,カローラ可児店,岐阜県可児市下恵土４２０８番地１,0574-62-9322,●,,●,●,,
16,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,0574-63-2515,https://www.toyota-cn-gifu.co.jp/,,,,,,,,ネッツ可児店,可児市下恵土字広瀬５８６８－１,0574-63-2515,●,,●,●,,
17,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,058-272-5678,https://www.toyota-cn-gifu.co.jp/,,,,,,,,北鶉店,岐阜市北鶉５丁目５７番地,058-272-5678,●,,●,●,,
18,トヨタカローラネッツ岐阜,岐阜県岐阜市六条大溝４丁目１－３,058-324-1183,https://www.toyota-cn-gifu.co.jp/,,,,,,,,カローラ北方店,岐阜県本巣郡北方町北方１１９－１,058-324-1183,●,,●,●,,
