,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,054-254-8143,https://www.corolla-shizuoka.co.jp/,,,,,,,,静岡店,静岡市葵区日出町　２－７,054-254-8143,●,●,●,●,,
1,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,054-378-8141,https://www.corolla-shizuoka.co.jp/,,,,,,,,清水中央店,静岡市清水区相生町４番５号,054-378-8141,●,●,●,●,,
2,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,054-262-5741,https://www.corolla-shizuoka.co.jp/,,,,,,,,千代田店,静岡市葵区東千代田　２丁目　１－１２,054-262-5741,●,●,●,●,,
3,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,0544-23-7031,https://www.corolla-shizuoka.co.jp/,,,,,,,,富士宮店,富士宮市　小泉　９１９－５,0544-23-7031,●,●,●,●,,
4,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,055-923-0778,https://www.corolla-shizuoka.co.jp/,,,,,,,,沼津西店,沼津市　西沢田　２５８－１,055-923-0778,●,,●,●,,
5,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,055-972-8141,https://www.corolla-shizuoka.co.jp/,,,,,,,,三島店,三島市　谷田　１９３－１,055-972-8141,●,●,●,●,,
6,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,055-932-8141,https://www.corolla-shizuoka.co.jp/,,,,,,,,香貫店,沼津市　上香貫三園町　１３８０,055-932-8141,●,●,●,●,,
7,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,055-962-8141,https://www.corolla-shizuoka.co.jp/,,,,,,,,沼津店,沼津市　大岡　１１１９,055-962-8141,●,●,●,●,,
8,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,0545-51-1141,https://www.corolla-shizuoka.co.jp/,,,,,,,,富士店,富士市　津田　２３１ー１,0545-51-1141,●,●,●,●,,
9,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,0557-37-8141,https://www.corolla-shizuoka.co.jp/,,,,,,,,伊東店,伊東市　湯川　５７７－１,0557-37-8141,●,●,●,●,,
10,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,0558-76-4111,https://www.corolla-shizuoka.co.jp/,,,,,,,,大仁店,伊豆の国市　神島　１９３,0558-76-4111,●,●,●,●,,
11,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,0558-22-7031,https://www.corolla-shizuoka.co.jp/,,,,,,,,下田店,下田市　東中　３－２０,0558-22-7031,●,●,●,●,,
12,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,055-993-4231,https://www.corolla-shizuoka.co.jp/,,,,,,,,裾野店,裾野市　伊豆島田　６９５－１,055-993-4231,●,●,●,●,,
13,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,0558-42-3131,https://www.corolla-shizuoka.co.jp/,,,,,,,,松崎店,賀茂郡松崎町江奈　２６３ー３,0558-42-3131,●,●,●,●,,
14,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,0550-83-8141,https://www.corolla-shizuoka.co.jp/,,,,,,,,御殿場店,御殿場市　ぐみ沢１２３６－１２,0550-83-8141,●,●,●,●,,
15,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,054-254-8144,https://www.corolla-shizuoka.co.jp/,,,,,,,,静岡マイカーセンター,静岡市葵区日出町２－７,054-254-8144,,●,●,,,
16,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,0545-53-3221,https://www.corolla-shizuoka.co.jp/,,,,,,,,富士マイカーセンター,富士市青島１８０－１,0545-53-3221,,●,●,,,
17,トヨタカローラ静岡株式会社,静岡県静岡市葵区日出町２番地の７,055-923-0089,https://www.corolla-shizuoka.co.jp/,,,,,,,,沼津西マイカーセンター,沼津市　西沢田　２５８－１,055-923-0089,,●,●,,,
