,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,052-962-7103,http://www.c-aichi.co.jp/,,,,,,,,東片端店,名古屋市東区泉一丁目６番１号,052-962-7103,●,,●,●,,
1,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,052-502-5151,http://www.c-aichi.co.jp/,,,,,,,,小田井店,名古屋市西区上小田井二丁目２０番地,052-502-5151,●,,●,●,,
2,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,052-895-6111,http://www.c-aichi.co.jp/,,,,,,,,野並店,名古屋市天白区野並二丁目２４番地,052-895-6111,●,,●,●,,
3,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,052-911-2311,http://www.c-aichi.co.jp/,,,,,,,,辻本通店,名古屋市北区辻本通一丁目２３番地,052-911-2311,●,,●,●,,
4,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,052-481-1111,http://www.c-aichi.co.jp/,,,,,,,,黄金店,名古屋市中村区黄金通五丁目２０番地,052-481-1111,●,,●,●,,
5,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,052-661-9111,http://www.c-aichi.co.jp/,,,,,,,,港店,名古屋市港区港楽二丁目２番１０号,052-661-9111,●,,●,●,●,●
6,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,052-761-6161,http://www.c-aichi.co.jp/,,,,,,,,末盛店,名古屋市千種区田代本通二丁目４番地,052-761-6161,●,,●,●,,
7,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,052-791-3171,http://www.c-aichi.co.jp/,,,,,,,,大森店,名古屋市守山区喜多山南２２番１１号,052-791-3171,●,,●,●,,
8,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,052-702-9071,http://www.c-aichi.co.jp/,,,,,,,,名東梅森坂店,名古屋市名東区梅森坂一丁目８０１番地の１,052-702-9071,●,,●,●,,
9,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0586-24-2441,http://www.c-aichi.co.jp/,,,,,,,,一宮店,一宮市中島通一丁目２０番地１,0586-24-2441,●,,●,●,,
10,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0587-32-4111,http://www.c-aichi.co.jp/,,,,,,,,稲沢店,稲沢市小池三丁目１１番２２号,0587-32-4111,●,,●,●,,
11,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0587-95-5222,http://www.c-aichi.co.jp/,,,,,,,,大口店,丹羽郡大口町上小口二丁目１１８番地,0587-95-5222,●,,●,●,,
12,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0564-21-9111,http://www.c-aichi.co.jp/,,,,,,,,岡崎大樹寺店,岡崎市薮田一丁目２番地１２,0564-21-9111,●,,●,●,●,●
13,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0564-51-0611,http://www.c-aichi.co.jp/,,,,,,,,岡崎南店,岡崎市戸崎町沢田１,0564-51-0611,●,,●,●,,
14,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0564-53-4080,http://www.c-aichi.co.jp/,,,,,,,,光ケ丘店,岡崎市美合町字五本松４番地４,0564-53-4080,●,,●,●,,
15,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0566-21-4881,http://www.c-aichi.co.jp/,,,,,,,,刈谷店,刈谷市中山町五丁目１０番地,0566-21-4881,●,,●,●,,
16,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0566-98-6922,http://www.c-aichi.co.jp/,,,,,,,,安城里町店,安城市今本町七丁目３番地２,0566-98-6922,●,,●,●,,
17,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0566-72-7911,http://www.c-aichi.co.jp/,,,,,,,,三河安城店,安城市三河安城東町１丁目１３番地７,0566-72-7911,●,,●,●,,
18,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0565-33-8200,http://www.c-aichi.co.jp/,,,,,,,,豊田梅坪店,豊田市梅坪町八丁目４番１６,0565-33-8200,●,,●,●,,
19,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0566-42-2111,http://www.c-aichi.co.jp/,,,,,,,,碧南店,碧南市末広町３－５３,0566-42-2111,●,,●,●,,
20,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0563-56-2511,http://www.c-aichi.co.jp/,,,,,,,,西尾店,西尾市矢曽根町籾山６,0563-56-2511,●,,●,●,,
21,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0533-69-3146,http://www.c-aichi.co.jp/,,,,,,,,蒲郡店,蒲郡市竹谷町松本１３－４,0533-69-3146,●,,●,●,,
22,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0533-88-5811,http://www.c-aichi.co.jp/,,,,,,,,音羽店,豊川市赤坂町平山３０－５,0533-88-5811,●,,●,●,,
23,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0532-52-6211,http://www.c-aichi.co.jp/,,,,,,,,豊橋店,豊橋市下地町字橋口４９ー１,0532-52-6211,●,,●,●,●,●
24,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0532-31-9111,http://www.c-aichi.co.jp/,,,,,,,,豊橋中郷店,豊橋市花中町１１６,0532-31-9111,●,,●,●,,
25,トヨタカローラ愛知株式会社,名古屋市東区泉一丁目6番1号,0532-47-4711,http://www.c-aichi.co.jp/,,,,,,,,豊橋曙店,豊橋市西幸町字浜池１１５番地,0532-47-4711,●,,●,●,,
