,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,059-353-5261,http://corollamie.co.jp,,,,,,,,四日市本社店,四日市市　北浜田町　１０－３,059-353-5261,●,●,●,●,●,●
1,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,059-332-6198,http://corollamie.co.jp,,,,,,,,四日市生桑店,四日市市　末永一本木　１０７８－１,059-332-6198,●,,●,●,,
2,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,059-345-5231,http://corollamie.co.jp,,,,,,,,四日市日永店,四日市市　日永　３丁目　２－１０,059-345-5231,●,●,●,●,,
3,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,059-365-7331,http://corollamie.co.jp,,,,,,,,大矢知富田店　,四日市市　大矢知町　９５３－１,059-365-7331,●,●,●,●,,
4,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,0594-76-6531,http://corollamie.co.jp,,,,,,,,いなべ店,員弁郡　東員町八幡新田　１３３－１,0594-76-6531,●,,●,●,,
5,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,0594-22-8623,http://corollamie.co.jp,,,,,,,,桑名店,桑名市　江場中野　４８１,0594-22-8623,●,●,●,●,,
6,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,0594-31-8812,http://corollamie.co.jp,,,,,,,,ネオポリス大山田店,桑名市　広見ケ丘　１５３７－６,0594-31-8812,●,,●,●,,
7,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,059-326-5211,http://corollamie.co.jp,,,,,,,,四日市桜店,四日市市　智積町　６３２２－２,059-326-5211,●,,●,●,,
8,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,059-382-1481,http://corollamie.co.jp,,,,,,,,鈴鹿店,鈴鹿市　安塚町　須田　１１６－１,059-382-1481,●,●,●,●,,
9,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,059-378-0086,http://corollamie.co.jp,,,,,,,,サーキット通り店,鈴鹿市　住吉町　６７９５－１,059-378-0086,●,,●,●,,
10,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,059-232-7551,http://corollamie.co.jp,,,,,,,,一身田店,津市　一身田大古曽　８３２－４,059-232-7551,●,,●,●,,
11,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,059-226-1101,http://corollamie.co.jp,,,,,,,,津店,津市　垂水中境　５６５－１,059-226-1101,●,●,●,●,,
12,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,0598-23-5111,http://corollamie.co.jp,,,,,,,,松阪宝塚店,松阪市　田村町　１０９－１,0598-23-5111,●,,●,●,,
13,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,0598-51-0029,http://corollamie.co.jp,,,,,,,,松阪店,松阪市　川井町　１３７３－２,0598-51-0029,●,●,●,●,,
14,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,059-293-1212,http://corollamie.co.jp,,,,,,,,一志店,津市　一志町　日置　４１３－１,059-293-1212,●,●,●,●,,
15,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,0596-22-1255,http://corollamie.co.jp,,,,,,,,伊勢店,伊勢市　神田久志本町　１４４８－１,0596-22-1255,●,●,●,●,,
16,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,0599-26-7311,http://corollamie.co.jp,,,,,,,,鳥羽店,鳥羽市　船津町　字石代　３７１－２,0599-26-7311,●,,●,●,,
17,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,05994-3-3118,http://corollamie.co.jp,,,,,,,,志摩店,志摩市　阿児町　鵜方山口　３９３－８８,05994-3-3118,●,,●,●,,
18,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,0595-65-6433,http://corollamie.co.jp,,,,,,,,田原名張店,名張市　東田原　２５２７－２,0595-65-6433,●,,●,●,,
19,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,0595-23-0713,http://corollamie.co.jp,,,,,,,,伊賀上野店,伊賀市　小田町　６４８－９,0595-23-0713,●,,●,●,,
20,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,0596-58-4101,http://corollamie.co.jp,,,,,,,,玉城店,度会郡　玉城町　長更　８３７－５,0596-58-4101,●,,●,●,,
21,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,05959-6-2261,http://corollamie.co.jp,,,,,,,,関店,亀山市　関町　大字　木崎　１８０５－１,05959-6-2261,●,,●,●,,
22,トヨタカローラ三重株式会社,四日市市　北浜田町　１０－３,0597-22-6031,http://corollamie.co.jp,,,,,,,,尾鷲店,尾鷲市　小川西町　８９８番,0597-22-6031,●,,●,●,,
