,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ三重株式会社,三重県津市垂水１６５,059-331-0571,http://www.netzmie.com,,,,,,,,四日市店,四日市市富士町４－５,059-331-0571,●,,●,●,,
1,ネッツトヨタ三重株式会社,三重県津市垂水１６５,059-346-9111,http://www.netzmie.com,,,,,,,,四日市南店,四日市市日永西５丁目２０－６,059-346-9111,●,●,●,●,,
2,ネッツトヨタ三重株式会社,三重県津市垂水１６５,0594-76-7121,http://www.netzmie.com,,,,,,,,員弁店,員弁郡東員町鳥取４０９,0594-76-7121,●,,●,●,,
3,ネッツトヨタ三重株式会社,三重県津市垂水１６５,0594-21-1778,http://www.netzmie.com,,,,,,,,桑名店,桑名市大字江場５７８－１,0594-21-1778,●,,●,●,,
4,ネッツトヨタ三重株式会社,三重県津市垂水１６５,059-327-1717,http://www.netzmie.com,,,,,,,,ＧＲガレージ四日市インター,四日市市高角町字中川原２８８７－１,059-327-1717,●,●,●,●,,
5,ネッツトヨタ三重株式会社,三重県津市垂水１６５,059-382-1407,http://www.netzmie.com,,,,,,,,鈴鹿店,鈴鹿市神戸本多町字本多町７６９,059-382-1407,●,,●,●,,
6,ネッツトヨタ三重株式会社,三重県津市垂水１６５,059-232-1315,http://www.netzmie.com,,,,,,,,津北店,津市栗真中山町１３６－７,059-232-1315,●,,●,●,,
7,ネッツトヨタ三重株式会社,三重県津市垂水１６５,059-224-1221,http://www.netzmie.com,,,,,,,,津店,津市垂水１６５,059-224-1221,●,●,●,●,,
8,ネッツトヨタ三重株式会社,三重県津市垂水１６５,059-256-3111,http://www.netzmie.com,,,,,,,,久居インター店,津市久居中町８２３－１,059-256-3111,●,,●,●,,
9,ネッツトヨタ三重株式会社,三重県津市垂水１６５,0598-21-9011,http://www.netzmie.com,,,,,,,,松阪南店,松阪市田村町１２４－１,0598-21-9011,●,,●,●,,
10,ネッツトヨタ三重株式会社,三重県津市垂水１６５,0598-56-2721,http://www.netzmie.com,,,,,,,,松阪店,松阪市市場庄町１１３２－１,0598-56-2721,●,,●,●,,
11,ネッツトヨタ三重株式会社,三重県津市垂水１６５,0596-29-1661,http://www.netzmie.com,,,,,,,,伊勢店,伊勢市御薗町長屋３０９１,0596-29-1661,●,●,●,●,●,●
12,ネッツトヨタ三重株式会社,三重県津市垂水１６５,0599-43-2221,http://www.netzmie.com,,,,,,,,志摩店,志摩市阿児町鵜方３８８－２５９,0599-43-2221,●,,●,●,,
13,ネッツトヨタ三重株式会社,三重県津市垂水１６５,0595-23-0231,http://www.netzmie.com,,,,,,,,上野店,伊賀市四十九町１７９４－８,0595-23-0231,●,,●,●,,
14,ネッツトヨタ三重株式会社,三重県津市垂水１６５,0595-62-2155,http://www.netzmie.com,,,,,,,,名張店,名張市希央台１番町２５,0595-62-2155,●,,●,●,,
15,ネッツトヨタ三重株式会社,三重県津市垂水１６５,0597-22-3558,http://www.netzmie.com,,,,,,,,尾鷲店,尾鷲市矢浜２丁目１８－２,0597-22-3558,●,,●,●,,
16,ネッツトヨタ三重株式会社,三重県津市垂水１６５,0597-85-3641,http://www.netzmie.com,,,,,,,,熊野店,熊野市井戸町４９０１,0597-85-3641,●,,●,,,
